E_ch,E_te,E_ad,E_se,Ip_ch,Ip_te,Ip_ad,Ip_se,Ias_ch,Ias_te,Ias_ad,Ias_se,Ips_ch,Ips_te,Ips_ad,Ips_se,Ims_ch,Ims_te,Ims_ad,Ims_se,Iss_ch,Iss_te,Iss_ad,Iss_se,W_ch,W_te,W_ad,W_se,H_ch,H_te,H_ad,H_se,R_ch,R_te,R_ad,R_se
16305.0,11673.0,20840.0,2120.0,6684.0,4794.0,8647.0,863.0,3726.0,2602.0,4870.0,541.0,3645.0,2671.0,1482.0,148.0,1770.0,1234.0,5403.0,367.0,31.0,8.0,238.0,143.0,53.0,12.0,327.0,249.0,288.0,86.0,2648.0,2658.0,3890153.0,3622353.0,11944047.0,2220603.0
16201.0,11371.0,20837.0,1950.0,6697.0,4900.0,8704.0,855.0,3736.0,2649.0,4972.0,523.0,3647.0,2549.0,1522.0,179.0,1875.0,1295.0,5499.0,364.0,33.0,7.0,248.0,163.0,43.0,17.0,371.0,281.0,302.0,81.0,2754.0,2750.0,3952298.0,3656802.0,12183673.0,2262803.0
16129.0,11619.0,20712.0,2111.0,6674.0,4734.0,8697.0,855.0,3757.0,2627.0,5112.0,538.0,3697.0,2711.0,1470.0,150.0,1730.0,1280.0,5447.0,353.0,37.0,15.0,242.0,166.0,68.0,11.0,348.0,269.0,286.0,68.0,2856.0,2754.0,3946119.0,3653158.0,12151924.0,2258871.0
14026.0,9804.0,17487.0,1699.0,5706.0,3993.0,7266.0,682.0,3068.0,2095.0,3992.0,461.0,3100.0,2144.0,1233.0,132.0,1556.0,1089.0,4490.0,291.0,27.0,11.0,167.0,144.0,48.0,15.0,296.0,192.0,201.0,51.0,2044.0,1856.0,3703650.0,3528558.0,11118596.0,2079358.0
15906.0,11368.0,20446.0,2027.0,6790.0,4721.0,8789.0,852.0,3570.0,2599.0,4896.0,524.0,3604.0,2584.0,1475.0,155.0,1770.0,1285.0,5431.0,371.0,33.0,10.0,208.0,150.0,61.0,13.0,354.0,244.0,307.0,89.0,2750.0,2635.0,3946763.0,3650952.0,12142513.0,2259563.0
12018.0,8319.0,15249.0,1445.0,5072.0,3415.0,6370.0,609.0,2712.0,1762.0,3694.0,358.0,2624.0,1802.0,1064.0,127.0,1349.0,885.0,3879.0,266.0,22.0,5.0,150.0,120.0,29.0,9.0,269.0,160.0,193.0,53.0,1745.0,1687.0,3692598.0,3533736.0,10959982.0,2053391.0
15426.0,11011.0,20450.0,2017.0,6426.0,4593.0,8667.0,843.0,3594.0,2634.0,4904.0,528.0,3658.0,2565.0,1542.0,171.0,1823.0,1280.0,5680.0,353.0,37.0,11.0,228.0,143.0,60.0,13.0,351.0,292.0,346.0,83.0,3392.0,3486.0,4199138.0,3794841.0,13109800.0,2432936.0
15508.0,10911.0,20109.0,1976.0,6485.0,4590.0,8559.0,875.0,3504.0,2543.0,5005.0,579.0,3634.0,2657.0,1568.0,156.0,1714.0,1301.0,5452.0,374.0,32.0,15.0,196.0,166.0,53.0,16.0,324.0,265.0,291.0,99.0,3083.0,3195.0,4089230.0,3729034.0,12789051.0,2375759.0
15017.0,10423.0,18646.0,1789.0,6206.0,4295.0,7705.0,784.0,3227.0,2321.0,4387.0,487.0,3277.0,2404.0,1294.0,155.0,1630.0,1144.0,4806.0,280.0,24.0,9.0,187.0,141.0,54.0,17.0,316.0,212.0,249.0,51.0,2243.0,2097.0,3755431.0,3553495.0,11401427.0,2129295.0
15519.0,10948.0,19907.0,2080.0,6345.0,4586.0,8575.0,849.0,3576.0,2471.0,4833.0,493.0,3674.0,2482.0,1478.0,175.0,1782.0,1275.0,5332.0,356.0,35.0,11.0,214.0,160.0,54.0,12.0,326.0,235.0,317.0,93.0,3107.0,3121.0,4074986.0,3724399.0,12687370.0,2354770.0
15721.0,11042.0,20572.0,2101.0,6489.0,4683.0,8753.0,922.0,3697.0,2493.0,4914.0,530.0,3627.0,2526.0,1471.0,171.0,1752.0,1243.0,5547.0,372.0,40.0,3.0,192.0,146.0,69.0,16.0,330.0,254.0,310.0,91.0,2976.0,2874.0,4020062.0,3691202.0,12444921.0,2312543.0
15680.0,11110.0,20071.0,2004.0,6578.0,4534.0,8342.0,827.0,3551.0,2470.0,4829.0,470.0,3650.0,2412.0,1447.0,155.0,1680.0,1210.0,5459.0,386.0,31.0,9.0,191.0,145.0,59.0,13.0,287.0,247.0,298.0,84.0,2400.0,2330.0,3823760.0,3583680.0,11689239.0,2176736.0
16393.0,11604.0,21019.0,2140.0,6814.0,4805.0,8933.0,925.0,3791.0,2691.0,4999.0,551.0,3743.0,2704.0,1542.0,165.0,1850.0,1249.0,5540.0,403.0,34.0,14.0,209.0,159.0,66.0,10.0,315.0,272.0,293.0,94.0,2735.0,2856.0,3950324.0,3649528.0,12200671.0,2268285.0
16307.0,11186.0,20836.0,2028.0,6729.0,4818.0,8721.0,888.0,3691.0,2703.0,5033.0,577.0,3704.0,2584.0,1497.0,161.0,1771.0,1273.0,5631.0,379.0,33.0,9.0,194.0,167.0,57.0,15.0,358.0,263.0,274.0,96.0,2800.0,2918.0,3993165.0,3674011.0,12355022.0,2293238.0
16386.0,11701.0,20901.0,2037.0,6747.0,4794.0,8578.0,832.0,3635.0,2600.0,4885.0,520.0,3794.0,2549.0,1506.0,136.0,1814.0,1328.0,5444.0,358.0,35.0,8.0,192.0,155.0,67.0,15.0,332.0,238.0,265.0,68.0,2442.0,2372.0,3781692.0,3556285.0,11654526.0,2171513.0
14304.0,10192.0,17828.0,1759.0,5858.0,4168.0,7303.0,760.0,3251.0,2228.0,4041.0,425.0,3128.0,2269.0,1240.0,131.0,1601.0,1171.0,4706.0,328.0,37.0,4.0,165.0,138.0,58.0,11.0,266.0,185.0,196.0,54.0,1988.0,1811.0,3683196.0,3515935.0,11155381.0,2083181.0
15306.0,10743.0,18834.0,1851.0,6152.0,4292.0,7835.0,736.0,3330.0,2324.0,4545.0,440.0,3393.0,2390.0,1386.0,149.0,1660.0,1170.0,4785.0,334.0,35.0,8.0,186.0,135.0,41.0,11.0,264.0,210.0,246.0,61.0,2090.0,1946.0,3707502.0,3524620.0,11287697.0,2107822.0
13819.0,9976.0,18341.0,1866.0,5827.0,4202.0,7988.0,841.0,3264.0,2199.0,4709.0,519.0,3244.0,2332.0,1392.0,152.0,1589.0,1173.0,5170.0,345.0,42.0,5.0,200.0,133.0,60.0,24.0,315.0,230.0,339.0,90.0,3334.0,3541.0,4277880.0,3847149.0,13357147.0,2480397.0
16099.0,11285.0,20577.0,1978.0,6625.0,4577.0,8737.0,884.0,3569.0,2577.0,4885.0,537.0,3734.0,2603.0,1552.0,171.0,1835.0,1220.0,5576.0,357.0,38.0,9.0,228.0,143.0,61.0,9.0,342.0,268.0,303.0,100.0,2833.0,2864.0,3994426.0,3680868.0,12304166.0,2284160.0
15774.0,11152.0,19874.0,1951.0,6518.0,4626.0,8366.0,860.0,3553.0,2547.0,4691.0,479.0,3457.0,2600.0,1489.0,160.0,1795.0,1246.0,5212.0,360.0,38.0,8.0,214.0,153.0,54.0,10.0,342.0,270.0,263.0,83.0,2529.0,2432.0,3837581.0,3588085.0,11759624.0,2192157.0
14534.0,10408.0,19377.0,1998.0,6185.0,4502.0,8441.0,889.0,3336.0,2468.0,4682.0,522.0,3382.0,2448.0,1473.0,156.0,1651.0,1195.0,5311.0,422.0,29.0,8.0,218.0,155.0,60.0,16.0,328.0,251.0,324.0,83.0,3378.0,3509.0,4245155.0,3822943.0,13280480.0,2462628.0
16307.0,11529.0,20480.0,1994.0,6698.0,4873.0,8696.0,874.0,3766.0,2595.0,4967.0,571.0,3514.0,2606.0,1473.0,179.0,1785.0,1269.0,5453.0,400.0,42.0,9.0,187.0,166.0,59.0,24.0,333.0,267.0,285.0,75.0,2735.0,2713.0,3932845.0,3643292.0,12136932.0,2253037.0
15138.0,10518.0,18522.0,1832.0,6128.0,4308.0,7871.0,836.0,3266.0,2312.0,4288.0,466.0,3369.0,2314.0,1267.0,125.0,1706.0,1165.0,4888.0,331.0,24.0,8.0,203.0,130.0,42.0,16.0,262.0,236.0,235.0,75.0,2176.0,2100.0,3738935.0,3539910.0,11435945.0,2136255.0
16484.0,11600.0,20832.0,2107.0,6814.0,4712.0,8694.0,852.0,3686.0,2597.0,4951.0,543.0,3706.0,2610.0,1513.0,200.0,1904.0,1321.0,5545.0,356.0,31.0,13.0,221.0,182.0,63.0,8.0,339.0,265.0,269.0,73.0,2669.0,2631.0,3885257.0,3614555.0,12002230.0,2230590.0
15994.0,11321.0,20520.0,2053.0,6715.0,4726.0,8704.0,890.0,3672.0,2525.0,5027.0,547.0,3732.0,2647.0,1575.0,163.0,1932.0,1267.0,5632.0,350.0,39.0,7.0,215.0,135.0,52.0,13.0,337.0,295.0,297.0,83.0,3039.0,3022.0,4033751.0,3702576.0,12527138.0,2326090.0
15999.0,11217.0,20462.0,2068.0,6730.0,4679.0,8638.0,881.0,3608.0,2581.0,5001.0,574.0,3615.0,2618.0,1494.0,159.0,1792.0,1304.0,5434.0,371.0,32.0,9.0,207.0,144.0,57.0,19.0,395.0,237.0,291.0,86.0,2758.0,2671.0,3936629.0,3648131.0,12114897.0,2249735.0
15906.0,11257.0,20247.0,2121.0,6593.0,4713.0,8464.0,796.0,3605.0,2480.0,4919.0,536.0,3577.0,2563.0,1542.0,150.0,1709.0,1262.0,5229.0,310.0,28.0,18.0,209.0,169.0,58.0,23.0,332.0,209.0,281.0,86.0,2613.0,2489.0,3859537.0,3603663.0,11831137.0,2198290.0
14693.0,10430.0,19571.0,1880.0,6206.0,4413.0,8273.0,830.0,3486.0,2451.0,4842.0,519.0,3409.0,2426.0,1489.0,168.0,1644.0,1237.0,5264.0,364.0,40.0,8.0,205.0,129.0,60.0,21.0,350.0,229.0,342.0,87.0,3149.0,3243.0,4173836.0,3785242.0,12952397.0,2404611.0
16782.0,12182.0,21388.0,2096.0,7049.0,4843.0,8881.0,915.0,3833.0,2653.0,5125.0,523.0,3938.0,2674.0,1546.0,155.0,1810.0,1310.0,5755.0,374.0,37.0,8.0,230.0,158.0,52.0,20.0,366.0,262.0,292.0,92.0,2737.0,2712.0,3901776.0,3622413.0,12097896.0,2249637.0
16026.0,11575.0,20542.0,2070.0,6642.0,4768.0,8715.0,810.0,3590.0,2527.0,5015.0,539.0,3555.0,2674.0,1459.0,146.0,1716.0,1284.0,5669.0,338.0,40.0,11.0,204.0,162.0,47.0,13.0,330.0,254.0,287.0,75.0,2711.0,2778.0,3932332.0,3641624.0,12121023.0,2254933.0
13874.0,9991.0,18892.0,1875.0,5844.0,4188.0,7991.0,776.0,3304.0,2399.0,4778.0,473.0,3213.0,2318.0,1377.0,163.0,1551.0,1188.0,5116.0,352.0,34.0,11.0,216.0,153.0,41.0,16.0,309.0,250.0,339.0,106.0,3454.0,3480.0,4302279.0,3862488.0,13330223.0,2475228.0
15648.0,11401.0,20621.0,2114.0,6581.0,4634.0,8588.0,874.0,3608.0,2725.0,5036.0,528.0,3679.0,2597.0,1515.0,167.0,1742.0,1278.0,5472.0,381.0,27.0,16.0,205.0,148.0,61.0,12.0,367.0,240.0,282.0,99.0,3034.0,3129.0,4054914.0,3710572.0,12575158.0,2337652.0
16177.0,11583.0,20475.0,1949.0,6468.0,4829.0,8496.0,788.0,3616.0,2660.0,4830.0,508.0,3696.0,2548.0,1452.0,136.0,1806.0,1236.0,5227.0,353.0,39.0,8.0,220.0,150.0,54.0,15.0,306.0,229.0,227.0,74.0,2429.0,2459.0,3821568.0,3582288.0,11736041.0,2187319.0
15116.0,10706.0,19853.0,1982.0,6295.0,4390.0,8429.0,846.0,3488.0,2483.0,4855.0,550.0,3428.0,2478.0,1378.0,157.0,1712.0,1270.0,5517.0,352.0,29.0,12.0,220.0,159.0,64.0,13.0,357.0,286.0,308.0,102.0,3051.0,3065.0,4120988.0,3752642.0,12816162.0,2381643.0
15898.0,11647.0,20670.0,2162.0,6776.0,4665.0,8864.0,875.0,3696.0,2771.0,5143.0,521.0,3721.0,2640.0,1522.0,187.0,1806.0,1331.0,5625.0,395.0,34.0,10.0,229.0,175.0,64.0,16.0,321.0,274.0,293.0,88.0,3045.0,2940.0,4023874.0,3693726.0,12509866.0,2320828.0
15867.0,11312.0,20799.0,2063.0,6778.0,4756.0,8897.0,902.0,3751.0,2650.0,5013.0,539.0,3701.0,2674.0,1507.0,153.0,1730.0,1322.0,5580.0,372.0,35.0,14.0,207.0,178.0,54.0,17.0,350.0,264.0,300.0,77.0,3156.0,3129.0,4073060.0,3720442.0,12681441.0,2355192.0
14746.0,10458.0,18460.0,1757.0,6062.0,4195.0,7765.0,726.0,3217.0,2283.0,4407.0,444.0,3319.0,2339.0,1350.0,117.0,1627.0,1141.0,4755.0,330.0,39.0,5.0,188.0,135.0,45.0,12.0,299.0,205.0,249.0,64.0,2185.0,2029.0,3767403.0,3560575.0,11392032.0,2123067.0
15610.0,11371.0,20386.0,2017.0,6534.0,4738.0,8487.0,816.0,3514.0,2529.0,4813.0,524.0,3650.0,2479.0,1385.0,139.0,1722.0,1314.0,5283.0,336.0,38.0,7.0,227.0,157.0,49.0,22.0,344.0,244.0,292.0,78.0,2616.0,2516.0,3869391.0,3610637.0,11855425.0,2203338.0
16534.0,11363.0,21062.0,2111.0,6854.0,4880.0,8972.0,899.0,3667.0,2587.0,5130.0,513.0,3746.0,2642.0,1451.0,175.0,1873.0,1301.0,5749.0,391.0,56.0,10.0,211.0,130.0,62.0,15.0,330.0,258.0,297.0,82.0,2961.0,2758.0,3953939.0,3655408.0,12221688.0,2270626.0
14097.0,10138.0,19104.0,1880.0,6032.0,4244.0,8141.0,863.0,3329.0,2340.0,4876.0,498.0,3341.0,2349.0,1371.0,145.0,1609.0,1175.0,5288.0,350.0,29.0,11.0,192.0,162.0,51.0,11.0,369.0,239.0,336.0,94.0,3609.0,3616.0,4310966.0,3864903.0,13496689.0,2501507.0
14578.0,10496.0,18628.0,1675.0,6083.0,4276.0,7876.0,743.0,3257.0,2308.0,4314.0,430.0,3306.0,2305.0,1291.0,125.0,1610.0,1201.0,4792.0,325.0,27.0,11.0,211.0,131.0,38.0,10.0,291.0,244.0,238.0,56.0,2108.0,2004.0,3721995.0,3531318.0,11333962.0,2116684.0
15735.0,11371.0,20181.0,2037.0,6531.0,4734.0,8457.0,811.0,3443.0,2593.0,4783.0,544.0,3569.0,2530.0,1466.0,151.0,1773.0,1227.0,5357.0,353.0,30.0,12.0,204.0,174.0,49.0,16.0,329.0,222.0,278.0,89.0,2467.0,2360.0,3825571.0,3587220.0,11730189.0,2184056.0
15018.0,10764.0,19940.0,2019.0,6272.0,4556.0,8424.0,865.0,3393.0,2592.0,4614.0,515.0,3557.0,2502.0,1550.0,154.0,1727.0,1241.0,5460.0,386.0,38.0,10.0,243.0,166.0,46.0,13.0,348.0,249.0,301.0,80.0,3033.0,3147.0,4124160.0,3754044.0,12757397.0,2369649.0
14624.0,10507.0,19370.0,1936.0,6264.0,4434.0,8259.0,783.0,3560.0,2439.0,4954.0,511.0,3529.0,2427.0,1465.0,149.0,1653.0,1233.0,5186.0,391.0,39.0,13.0,209.0,153.0,53.0,20.0,331.0,257.0,315.0,85.0,3215.0,3522.0,4210882.0,3805401.0,13126842.0,2434170.0
15408.0,10883.0,19646.0,1943.0,6449.0,4511.0,8370.0,810.0,3553.0,2389.0,4759.0,490.0,3621.0,2443.0,1438.0,174.0,1710.0,1303.0,5309.0,372.0,38.0,11.0,185.0,159.0,48.0,17.0,372.0,272.0,302.0,66.0,2750.0,2723.0,3958629.0,3662860.0,12180253.0,2264084.0
14858.0,10461.0,18667.0,1782.0,6129.0,4383.0,7812.0,774.0,3270.0,2293.0,4278.0,456.0,3331.0,2362.0,1295.0,133.0,1572.0,1177.0,4785.0,317.0,30.0,5.0,161.0,138.0,59.0,7.0,289.0,230.0,233.0,71.0,2145.0,1993.0,3724753.0,3530783.0,11347348.0,2122459.0
14978.0,10310.0,18890.0,1833.0,6102.0,4142.0,7869.0,724.0,3385.0,2305.0,4471.0,455.0,3410.0,2327.0,1314.0,140.0,1614.0,1186.0,4846.0,306.0,36.0,11.0,188.0,134.0,51.0,13.0,328.0,210.0,262.0,71.0,2225.0,2144.0,3748897.0,3548822.0,11418490.0,2129506.0
13606.0,9824.0,18522.0,1870.0,5807.0,4168.0,7824.0,810.0,3253.0,2397.0,4534.0,483.0,3149.0,2332.0,1400.0,146.0,1619.0,1152.0,5057.0,345.0,29.0,9.0,223.0,138.0,52.0,22.0,311.0,249.0,319.0,87.0,3265.0,3392.0,4276639.0,3845546.0,13262263.0,2462025.0
14814.0,10239.0,18801.0,1847.0,6035.0,4187.0,7789.0,803.0,3380.0,2263.0,4465.0,487.0,3266.0,2386.0,1266.0,134.0,1668.0,1182.0,4970.0,341.0,24.0,6.0,170.0,147.0,42.0,5.0,305.0,225.0,260.0,59.0,2303.0,2076.0,3790138.0,3573311.0,11483123.0,2142639.0
13247.0,9536.0,18007.0,1775.0,5599.0,3994.0,7792.0,780.0,3140.0,2298.0,4600.0,488.0,3186.0,2324.0,1346.0,157.0,1513.0,1087.0,4935.0,337.0,42.0,4.0,191.0,142.0,53.0,21.0,359.0,246.0,306.0,76.0,3365.0,3566.0,4313679.0,3869991.0,13412962.0,2487296.0
15056.0,10621.0,19771.0,2022.0,6239.0,4545.0,8301.0,844.0,3501.0,2592.0,4774.0,515.0,3453.0,2528.0,1506.0,161.0,1703.0,1268.0,5420.0,368.0,37.0,6.0,200.0,163.0,49.0,21.0,334.0,267.0,315.0,93.0,3272.0,3341.0,4166184.0,3778543.0,12939707.0,2401204.0
15237.0,10945.0,19987.0,2068.0,6451.0,4530.0,8582.0,826.0,3444.0,2611.0,4940.0,536.0,3509.0,2649.0,1405.0,167.0,1698.0,1257.0,5380.0,367.0,38.0,4.0,241.0,157.0,60.0,12.0,351.0,244.0,339.0,77.0,2957.0,3055.0,4069595.0,3725131.0,12553861.0,2327968.0
15396.0,10920.0,19407.0,1836.0,6287.0,4312.0,8016.0,782.0,3361.0,2381.0,4503.0,502.0,3398.0,2478.0,1376.0,153.0,1723.0,1239.0,5013.0,317.0,36.0,14.0,202.0,139.0,55.0,12.0,299.0,223.0,240.0,77.0,2197.0,2157.0,3733341.0,3532449.0,11431164.0,2132991.0
14610.0,10516.0,19395.0,1884.0,6004.0,4417.0,8158.0,830.0,3437.0,2444.0,4828.0,471.0,3458.0,2462.0,1466.0,148.0,1656.0,1287.0,5321.0,366.0,38.0,8.0,216.0,154.0,48.0,14.0,319.0,237.0,328.0,87.0,3217.0,3395.0,4223735.0,3815103.0,13111085.0,2432967.0
15839.0,11403.0,20812.0,2044.0,6684.0,4753.0,8806.0,879.0,3674.0,2643.0,5111.0,536.0,3676.0,2633.0,1515.0,168.0,1796.0,1348.0,5592.0,398.0,42.0,14.0,210.0,179.0,55.0,19.0,364.0,264.0,291.0,102.0,3052.0,3188.0,4053345.0,3707574.0,12561225.0,2329520.0
15665.0,10937.0,19144.0,1939.0,6318.0,4553.0,8258.0,794.0,3520.0,2422.0,4532.0,486.0,3384.0,2527.0,1413.0,126.0,1726.0,1183.0,5087.0,334.0,32.0,10.0,155.0,153.0,55.0,13.0,294.0,256.0,314.0,69.0,2336.0,2187.0,3767405.0,3556153.0,11541840.0,2151378.0
15225.0,10898.0,19746.0,1960.0,6291.0,4476.0,8541.0,827.0,3434.0,2555.0,4728.0,527.0,3596.0,2411.0,1471.0,146.0,1730.0,1204.0,5116.0,337.0,38.0,12.0,221.0,152.0,53.0,13.0,347.0,223.0,281.0,80.0,2636.0,2519.0,3910460.0,3636373.0,11911822.0,2212195.0
12021.0,8642.0,16576.0,1629.0,5167.0,3646.0,7189.0,710.0,2905.0,2078.0,4125.0,462.0,2904.0,2022.0,1254.0,134.0,1368.0,993.0,4551.0,306.0,28.0,6.0,183.0,126.0,65.0,12.0,311.0,222.0,323.0,79.0,3678.0,3792.0,4466494.0,3961354.0,14005541.0,2599667.0
14351.0,10018.0,18972.0,1956.0,6001.0,4376.0,8017.0,814.0,3329.0,2442.0,4507.0,482.0,3308.0,2425.0,1441.0,156.0,1673.0,1208.0,5121.0,380.0,36.0,7.0,182.0,143.0,48.0,20.0,319.0,222.0,296.0,85.0,3137.0,3234.0,4175450.0,3788953.0,12935275.0,2399516.0
14632.0,10622.0,19652.0,1976.0,6282.0,4371.0,8453.0,822.0,3451.0,2535.0,4811.0,520.0,3431.0,2458.0,1499.0,152.0,1724.0,1255.0,5415.0,365.0,41.0,7.0,176.0,153.0,54.0,15.0,349.0,254.0,307.0,80.0,3254.0,3321.0,4183145.0,3789700.0,13006595.0,2413409.0
16134.0,11297.0,20606.0,1976.0,6691.0,4662.0,8553.0,870.0,3710.0,2520.0,5073.0,502.0,3679.0,2472.0,1422.0,135.0,1798.0,1261.0,5478.0,359.0,41.0,8.0,230.0,149.0,41.0,10.0,347.0,262.0,238.0,71.0,2648.0,2593.0,3887823.0,3620060.0,11886422.0,2210454.0
15971.0,11479.0,20058.0,1955.0,6405.0,4746.0,8507.0,797.0,3583.0,2554.0,4654.0,480.0,3570.0,2530.0,1364.0,126.0,1748.0,1298.0,5397.0,348.0,40.0,6.0,203.0,161.0,52.0,13.0,315.0,225.0,258.0,67.0,2456.0,2387.0,3821108.0,3581714.0,11732398.0,2189079.0
15999.0,11374.0,20657.0,1985.0,6592.0,4822.0,8718.0,858.0,3632.0,2633.0,5023.0,549.0,3691.0,2488.0,1466.0,183.0,1861.0,1294.0,5487.0,374.0,37.0,8.0,210.0,147.0,61.0,13.0,339.0,257.0,282.0,68.0,2994.0,2883.0,4028308.0,3695719.0,12491981.0,2316867.0
15859.0,11351.0,20545.0,2016.0,6636.0,4644.0,8664.0,869.0,3682.0,2462.0,4946.0,537.0,3662.0,2576.0,1508.0,183.0,1814.0,1258.0,5569.0,358.0,37.0,11.0,226.0,152.0,67.0,18.0,319.0,279.0,323.0,95.0,2895.0,2927.0,4026217.0,3695364.0,12442537.0,2314086.0
16420.0,11503.0,21012.0,2129.0,6810.0,4857.0,8613.0,849.0,3706.0,2552.0,5051.0,555.0,3753.0,2638.0,1522.0,175.0,1839.0,1250.0,5273.0,337.0,33.0,8.0,242.0,175.0,49.0,13.0,362.0,245.0,250.0,81.0,2682.0,2496.0,3844104.0,3593033.0,11827717.0,2202731.0
15165.0,10586.0,18822.0,1910.0,6212.0,4330.0,7945.0,801.0,3314.0,2275.0,4481.0,462.0,3343.0,2376.0,1342.0,118.0,1633.0,1215.0,4882.0,328.0,28.0,8.0,187.0,156.0,48.0,15.0,275.0,218.0,234.0,67.0,2197.0,2071.0,3744380.0,3540935.0,11420612.0,2132149.0
15685.0,11130.0,19692.0,1833.0,6398.0,4431.0,8071.0,759.0,3447.0,2503.0,4463.0,524.0,3470.0,2444.0,1370.0,157.0,1714.0,1259.0,5133.0,345.0,32.0,9.0,178.0,132.0,50.0,11.0,306.0,208.0,236.0,82.0,2172.0,2210.0,3760893.0,3550703.0,11525762.0,2150987.0
14672.0,10522.0,19337.0,1964.0,6175.0,4343.0,8429.0,846.0,3439.0,2509.0,4874.0,495.0,3395.0,2464.0,1449.0,156.0,1748.0,1211.0,5281.0,348.0,33.0,4.0,183.0,173.0,53.0,8.0,352.0,274.0,308.0,88.0,3257.0,3261.0,4171627.0,3784355.0,12972751.0,2402995.0
13742.0,9476.0,17666.0,1690.0,5598.0,3865.0,7254.0,788.0,3076.0,2051.0,4323.0,477.0,3055.0,2179.0,1223.0,133.0,1552.0,1034.0,4607.0,304.0,28.0,7.0,180.0,116.0,50.0,14.0,269.0,224.0,221.0,58.0,2072.0,1984.0,3781203.0,3581496.0,11286414.0,2109488.0
