all-median,all-p1,all-p2,time,date,hosp_pred
15.0,6.0,29.049999999999983,2020-02-23,2020-02-23,
18.0,8.0,31.52499999999999,2020-02-24,2020-02-24,
21.5,9.0,40.52499999999999,2020-02-25,2020-02-25,
27.5,10.475,45.52499999999999,2020-02-26,2020-02-26,
33.0,13.0,60.0,2020-02-27,2020-02-27,
38.0,17.0,65.0,2020-02-28,2020-02-28,
46.0,18.475,73.0,2020-02-29,2020-02-29,
52.5,20.425,93.14999999999996,2020-03-01,2020-03-01,36.0
65.5,27.0,108.525,2020-03-02,2020-03-02,65.0
83.5,31.475,128.04999999999998,2020-03-03,2020-03-03,53.0
96.0,39.8,159.44999999999985,2020-03-04,2020-03-04,103.0
113.5,56.85,180.04999999999998,2020-03-05,2020-03-05,102.0
138.0,62.425,218.19999999999993,2020-03-06,2020-03-06,147.0
161.0,79.325,268.575,2020-03-07,2020-03-07,123.0
202.0,82.95,304.525,2020-03-08,2020-03-08,106.0
230.5,109.85,378.3499999999999,2020-03-09,2020-03-09,203.0
281.0,131.325,449.3499999999999,2020-03-10,2020-03-10,230.0
337.5,155.0,502.92499999999984,2020-03-11,2020-03-11,293.0
405.0,190.475,636.6249999999997,2020-03-12,2020-03-12,364.0
479.5,218.225,787.7249999999996,2020-03-13,2020-03-13,470.0
570.0,281.125,943.525,2020-03-14,2020-03-14,602.0
673.5,326.025,1082.3,2020-03-15,2020-03-15,700.0
813.0,371.475,1269.7249999999992,2020-03-16,2020-03-16,1065.0
978.0,442.05,1516.1749999999995,2020-03-17,2020-03-17,1126.0
1174.0,553.35,1811.1999999999991,2020-03-18,2020-03-18,1414.0
1408.5,623.2,2223.7249999999985,2020-03-19,2020-03-19,1579.0
1656.5,764.325,2581.424999999999,2020-03-20,2020-03-20,1952.0
1995.5,923.9,3126.124999999998,2020-03-21,2020-03-21,1680.0
2361.5,1099.975,3726.9499999999975,2020-03-22,2020-03-22,1772.0
2827.0,1298.525,4405.549999999997,2020-03-23,2020-03-23,2774.0
3167.0,1453.025,5002.749999999996,2020-03-24,2020-03-24,2731.0
3348.5,1547.3,5191.099999999998,2020-03-25,2020-03-25,3117.0
3391.0,1557.85,5310.674999999998,2020-03-26,2020-03-26,3215.0
3393.5,1576.65,5264.124999999997,2020-03-27,2020-03-27,3646.0
3293.5,1536.625,5124.474999999998,2020-03-28,2020-03-28,2868.0
3180.0,1482.175,4893.424999999997,2020-03-29,2020-03-29,2380.0
2991.0,1433.0,4628.499999999996,2020-03-30,2020-03-30,3286.0
2795.5,1345.375,4321.949999999999,2020-03-31,2020-03-31,3135.0
2664.5,1261.425,4109.349999999998,2020-04-01,2020-04-01,2999.0
2520.5,1213.5,3868.249999999998,2020-04-02,2020-04-02,2716.0
2403.0,1180.175,3630.624999999999,2020-04-03,2020-04-03,2764.0
2247.5,1092.625,3404.6499999999983,2020-04-04,2020-04-04,2149.0
2151.5,1028.85,3207.049999999999,2020-04-05,2020-04-05,1449.0
2020.0,979.175,3103.749999999998,2020-04-06,2020-04-06,2354.0
1955.5,937.65,2863.9749999999995,2020-04-07,2020-04-07,2179.0
1804.0,873.3,2685.0749999999994,2020-04-08,2020-04-08,2024.0
1733.0,868.95,2488.1999999999994,2020-04-09,2020-04-09,2065.0
1643.5,794.025,2388.9249999999993,2020-04-10,2020-04-10,1991.0
1565.0,747.8,2269.474999999999,2020-04-11,2020-04-11,1466.0
1462.0,713.05,2135.9249999999997,2020-04-12,2020-04-12,1276.0
1382.0,697.425,2061.05,2020-04-13,2020-04-13,1117.0
1309.5,644.9,1920.1999999999991,2020-04-14,2020-04-14,1551.0
1246.0,633.575,1807.05,2020-04-15,2020-04-15,1441.0
1188.5,576.4,1729.174999999999,2020-04-16,2020-04-16,1426.0
1123.5,559.65,1620.624999999999,2020-04-17,2020-04-17,1392.0
1066.0,537.425,1521.575,2020-04-18,2020-04-18,917.0
1019.0,504.125,1452.725,2020-04-19,2020-04-19,700.0
973.0,494.375,1352.525,2020-04-20,2020-04-20,1113.0
898.0,484.85,1299.8749999999998,2020-04-21,2020-04-21,1133.0
859.5,443.425,1210.5749999999996,2020-04-22,2020-04-22,969.0
814.0,415.75,1172.5249999999996,2020-04-23,2020-04-23,972.0
787.5,410.425,1061.0749999999998,2020-04-24,2020-04-24,881.0
741.0,388.7,986.2,2020-04-25,2020-04-25,535.0
703.5,372.75,958.825,2020-04-26,2020-04-26,444.0
666.0,364.85,883.525,2020-04-27,2020-04-27,754.0
630.0,330.275,862.675,2020-04-28,2020-04-28,726.0
600.0,323.425,799.1999999999999,2020-04-29,2020-04-29,628.0
579.0,298.65,756.7249999999999,2020-04-30,2020-04-30,656.0
545.5,297.175,705.5499999999998,2020-05-01,2020-05-01,410.0
502.5,284.85,705.5999999999998,2020-05-02,2020-05-02,381.0
490.0,265.85,632.3249999999997,2020-05-03,2020-05-03,293.0
466.5,245.85,600.5749999999999,2020-05-04,2020-05-04,473.0
434.0,237.425,577.0999999999999,2020-05-05,2020-05-05,515.0
419.5,241.375,532.8749999999999,2020-05-06,2020-05-06,456.0
390.5,208.65,481.525,2020-05-07,2020-05-07,458.0
366.5,216.95,463.0,2020-05-08,2020-05-08,246.0
357.5,210.0,450.62499999999994,2020-05-09,2020-05-09,291.0
327.0,195.275,430.5999999999998,2020-05-10,2020-05-10,240.0
312.5,185.975,406.62499999999994,2020-05-11,2020-05-11,327.0
291.5,165.8,367.0,2020-05-12,2020-05-12,351.0
284.5,171.85,354.525,2020-05-13,2020-05-13,321.0
266.0,153.175,340.09999999999997,2020-05-14,2020-05-14,311.0
252.0,158.95,311.7249999999999,2020-05-15,2020-05-15,292.0
248.5,149.95,302.575,2020-05-16,2020-05-16,193.0
241.0,148.0,289.0,2020-05-17,2020-05-17,166.0
230.0,136.375,284.525,2020-05-18,2020-05-18,280.0
219.5,130.85,275.525,2020-05-19,2020-05-19,235.0
216.5,131.375,264.525,2020-05-20,2020-05-20,238.0
205.5,121.8,251.575,2020-05-21,2020-05-21,159.0
200.0,121.85,251.67499999999995,2020-05-22,2020-05-22,227.0
191.5,122.475,231.14999999999995,2020-05-23,2020-05-23,144.0
183.0,122.9,233.05,2020-05-24,2020-05-24,109.0
179.0,113.475,217.05,2020-05-25,2020-05-25,177.0
171.0,109.375,213.575,2020-05-26,2020-05-26,180.0
165.0,102.425,199.525,2020-05-27,2020-05-27,154.0
157.0,104.0,194.05,2020-05-28,2020-05-28,134.0
151.0,94.95,182.0,2020-05-29,2020-05-29,130.0
144.0,99.275,178.0,2020-05-30,2020-05-30,97.0
137.5,88.275,173.0,2020-05-31,2020-05-31,78.0
133.0,89.95,164.04999999999998,2020-06-01,2020-06-01,83.0
130.5,84.0,154.67499999999995,2020-06-02,2020-06-02,124.0
119.0,77.475,157.575,2020-06-03,2020-06-03,121.0
119.0,77.375,145.0,2020-06-04,2020-06-04,118.0
113.0,75.95,135.575,2020-06-05,2020-06-05,93.0
105.0,72.375,135.52499999999998,2020-06-06,2020-06-06,83.0
101.0,63.175,125.0,2020-06-07,2020-06-07,49.0
98.5,64.95,129.24999999999991,2020-06-08,2020-06-08,77.0
92.0,63.0,111.525,2020-06-09,2020-06-09,83.0
87.5,60.475,113.04999999999998,2020-06-10,2020-06-10,96.0
86.0,61.95,107.57499999999996,2020-06-11,2020-06-11,80.0
82.0,54.0,103.04999999999998,2020-06-12,2020-06-12,68.0
78.0,52.475,96.0,2020-06-13,2020-06-13,37.0
73.5,54.95,91.525,2020-06-14,2020-06-14,59.0
70.0,51.95,91.525,2020-06-15,2020-06-15,67.0
67.0,48.0,86.52499999999999,2020-06-16,2020-06-16,70.0
63.0,47.475,82.0,2020-06-17,2020-06-17,64.0
62.0,48.475,76.0,2020-06-18,2020-06-18,72.0
57.5,42.0,75.0,2020-06-19,2020-06-19,74.0
55.0,39.425,71.57499999999997,2020-06-20,2020-06-20,47.0
53.0,39.0,69.52499999999999,2020-06-21,2020-06-21,48.0
51.0,36.475,69.0,2020-06-22,2020-06-22,47.0
47.0,35.475,64.52499999999999,2020-06-23,2020-06-23,61.0
47.0,34.475,63.0,2020-06-24,2020-06-24,56.0
44.0,33.475,58.0,2020-06-25,2020-06-25,58.0
43.0,29.475,54.0,2020-06-26,2020-06-26,58.0
41.0,27.475,54.52499999999999,2020-06-27,2020-06-27,38.0
38.5,25.475,53.0,2020-06-28,2020-06-28,37.0
37.0,25.95,49.0,2020-06-29,2020-06-29,46.0
36.0,24.0,47.04999999999998,2020-06-30,2020-06-30,47.0
33.0,23.0,46.04999999999998,2020-07-01,2020-07-01,54.0
33.0,22.0,45.52499999999999,2020-07-02,2020-07-02,38.0
32.0,21.475,41.04999999999998,2020-07-03,2020-07-03,51.0
31.0,17.95,42.04999999999998,2020-07-04,2020-07-04,34.0
29.0,18.475,39.574999999999974,2020-07-05,2020-07-05,31.0
28.5,18.0,39.574999999999974,2020-07-06,2020-07-06,53.0
26.0,16.0,36.52499999999999,2020-07-07,2020-07-07,46.0
24.5,14.95,37.0,2020-07-08,2020-07-08,42.0
22.5,13.0,37.0,2020-07-09,2020-07-09,66.0
24.0,14.0,32.0,2020-07-10,2020-07-10,59.0
23.0,14.475,32.0,2020-07-11,2020-07-11,36.0
22.0,13.0,36.0,2020-07-12,2020-07-12,38.0
23.0,15.0,35.0,2020-07-13,2020-07-13,81.0
23.5,15.0,34.52499999999999,2020-07-14,2020-07-14,43.0
24.0,14.475,33.0,2020-07-15,2020-07-15,64.0
27.0,18.0,36.52499999999999,2020-07-16,2020-07-16,84.0
27.0,19.0,39.0,2020-07-17,2020-07-17,72.0
29.0,18.475,39.0,2020-07-18,2020-07-18,41.0
30.0,19.475,41.0,2020-07-19,2020-07-19,42.0
30.0,21.0,43.52499999999999,2020-07-20,2020-07-20,76.0
32.0,21.95,47.0,2020-07-21,2020-07-21,73.0
35.0,22.0,49.52499999999999,2020-07-22,2020-07-22,60.0
35.0,24.0,48.52499999999999,2020-07-23,2020-07-23,58.0
37.0,25.95,50.04999999999998,2020-07-24,2020-07-24,73.0
39.0,25.475,54.04999999999998,2020-07-25,2020-07-25,64.0
40.0,27.95,56.52499999999999,2020-07-26,2020-07-26,59.0
43.0,29.475,57.0,2020-07-27,2020-07-27,83.0
43.0,27.475,62.04999999999998,2020-07-28,2020-07-28,75.0
47.0,33.95,62.574999999999974,2020-07-29,2020-07-29,79.0
48.0,32.0,63.0,2020-07-30,2020-07-30,81.0
51.5,33.475,70.0,2020-07-31,2020-07-31,97.0
52.0,35.95,71.57499999999997,2020-08-01,2020-08-01,58.0
54.0,37.0,75.09999999999997,2020-08-02,2020-08-02,62.0
57.0,35.9,77.0,2020-08-03,2020-08-03,91.0
60.0,40.425,79.0,2020-08-04,2020-08-04,113.0
64.5,41.95,86.09999999999997,2020-08-05,2020-08-05,102.0
66.0,42.475,86.09999999999997,2020-08-06,2020-08-06,94.0
68.0,42.475,87.52499999999999,2020-08-07,2020-08-07,104.0
74.0,48.0,95.0,2020-08-08,2020-08-08,75.0
77.0,52.0,99.525,2020-08-09,2020-08-09,87.0
80.0,52.95,109.04999999999998,2020-08-10,2020-08-10,94.0
85.0,57.425,114.04999999999998,2020-08-11,2020-08-11,130.0
89.5,58.425,122.09999999999997,2020-08-12,2020-08-12,142.0
91.0,60.95,126.14999999999996,2020-08-13,2020-08-13,118.0
95.0,59.475,131.67499999999995,2020-08-14,2020-08-14,104.0
101.5,64.475,132.52499999999998,2020-08-15,2020-08-15,98.0
105.0,70.475,143.09999999999997,2020-08-16,2020-08-16,101.0
111.5,72.475,147.52499999999998,2020-08-17,2020-08-17,113.0
114.0,75.475,149.0,2020-08-18,2020-08-18,131.0
121.0,70.95,163.52499999999998,2020-08-19,2020-08-19,143.0
128.0,78.0,166.52499999999998,2020-08-20,2020-08-20,148.0
136.0,78.0,177.7249999999999,2020-08-21,2020-08-21,127.0
137.0,88.275,180.525,2020-08-22,2020-08-22,99.0
145.5,87.9,197.2999999999999,2020-08-23,2020-08-23,107.0
148.5,87.0,193.525,2020-08-24,2020-08-24,171.0
159.0,97.6,216.525,2020-08-25,2020-08-25,149.0
165.0,98.475,220.2999999999999,2020-08-26,2020-08-26,158.0
173.0,108.75,240.575,2020-08-27,2020-08-27,200.0
182.0,100.95,239.14999999999995,2020-08-28,2020-08-28,181.0
189.5,108.125,262.7749999999999,2020-08-29,2020-08-29,119.0
190.5,111.475,270.19999999999993,2020-08-30,2020-08-30,148.0
211.0,126.475,283.525,2020-08-31,2020-08-31,213.0
211.5,114.0,299.7749999999999,2020-09-01,2020-09-01,238.0
221.5,132.425,311.8749999999999,2020-09-02,2020-09-02,218.0
235.5,136.975,324.19999999999993,2020-09-03,2020-09-03,258.0
245.0,145.325,345.575,2020-09-04,2020-09-04,285.0
259.5,136.9,348.19999999999993,2020-09-05,2020-09-05,226.0
267.0,154.8,384.8249999999999,2020-09-06,2020-09-06,200.0
284.5,162.225,415.6749999999999,2020-09-07,2020-09-07,365.0
300.5,178.95,433.1,2020-09-08,2020-09-08,330.0
332.5,186.875,501.525,2020-09-09,2020-09-09,283.0
365.0,203.475,524.675,2020-09-10,2020-09-10,367.0
408.0,227.85,593.525,2020-09-11,2020-09-11,405.0
431.0,243.7,619.625,2020-09-12,2020-09-12,330.0
436.5,238.425,666.675,2020-09-13,2020-09-13,272.0
451.5,251.275,674.4999999999998,2020-09-14,2020-09-14,431.0
459.0,243.075,671.0,2020-09-15,2020-09-15,480.0
457.0,243.45,686.625,2020-09-16,2020-09-16,502.0
466.5,264.275,687.2499999999999,2020-09-17,2020-09-17,493.0
480.5,266.85,709.5749999999999,2020-09-18,2020-09-18,566.0
483.0,241.95,709.2749999999997,2020-09-19,2020-09-19,383.0
486.0,250.375,754.675,2020-09-20,2020-09-20,428.0
504.5,260.975,756.675,2020-09-21,2020-09-21,560.0
506.0,257.5,767.05,2020-09-22,2020-09-22,540.0
515.0,266.275,789.15,2020-09-23,2020-09-23,510.0
515.5,273.175,801.7499999999998,2020-09-24,2020-09-24,553.0
531.0,267.125,823.0,2020-09-25,2020-09-25,541.0
534.0,267.325,810.4499999999998,2020-09-26,2020-09-26,399.0
557.5,300.95,824.7749999999999,2020-09-27,2020-09-27,336.0
568.0,278.925,879.5749999999999,2020-09-28,2020-09-28,609.0
579.0,312.75,877.8249999999999,2020-09-29,2020-09-29,565.0
575.5,286.875,898.2499999999999,2020-09-30,2020-09-30,598.0
596.0,307.375,951.4999999999998,2020-10-01,2020-10-01,608.0
603.0,300.75,976.2,2020-10-02,2020-10-02,614.0
617.5,298.7,959.35,2020-10-03,2020-10-03,537.0
617.5,297.325,1001.7499999999998,2020-10-04,2020-10-04,420.0
645.5,312.925,1032.525,2020-10-05,2020-10-05,651.0
647.5,325.45,1066.575,2020-10-06,2020-10-06,718.0
665.5,332.75,1065.4999999999998,2020-10-07,2020-10-07,691.0
677.0,330.825,1092.6,2020-10-08,2020-10-08,793.0
675.5,351.225,1117.6249999999995,2020-10-09,2020-10-09,824.0
726.0,366.6,1194.975,2020-10-10,2020-10-10,702.0
766.5,374.725,1253.1,2020-10-11,2020-10-11,607.0
813.0,408.7,1349.549999999999,2020-10-12,2020-10-12,1022.0
874.0,421.5,1439.2749999999996,2020-10-13,2020-10-13,1043.0
944.0,465.225,1528.8249999999996,2020-10-14,2020-10-14,1126.0
1024.5,492.675,1654.575,2020-10-15,2020-10-15,1096.0
1079.5,548.8,1771.7999999999995,2020-10-16,2020-10-16,1286.0
1181.5,586.65,1915.825,2020-10-17,2020-10-17,1114.0
1226.0,623.475,2016.5999999999997,2020-10-18,2020-10-18,971.0
1343.0,685.625,2165.725,2020-10-19,2020-10-19,1507.0
1442.0,699.35,2306.5249999999996,2020-10-20,2020-10-20,1627.0
1555.5,778.425,2527.4749999999995,2020-10-21,2020-10-21,1665.0
1641.0,822.3,2678.6749999999997,2020-10-22,2020-10-22,1794.0
1744.5,901.425,2777.4249999999997,2020-10-23,2020-10-23,1928.0
1859.5,922.075,2956.2,2020-10-24,2020-10-24,1531.0
1966.5,956.825,3133.699999999999,2020-10-25,2020-10-25,1468.0
2028.0,968.875,3190.7749999999996,2020-10-26,2020-10-26,2176.0
2096.0,1018.675,3320.6999999999994,2020-10-27,2020-10-27,2248.0
2135.0,1077.75,3451.3499999999995,2020-10-28,2020-10-28,2248.0
2221.0,1062.925,3577.524999999999,2020-10-29,2020-10-29,2288.0
2236.0,1095.1,3581.574999999999,2020-10-30,2020-10-30,2399.0
2285.0,1095.45,3622.05,2020-10-31,2020-10-31,2006.0
2291.5,1138.15,3731.9499999999994,2020-11-01,2020-11-01,1878.0
2329.5,1128.25,3695.8,2020-11-02,2020-11-02,2767.0
2267.0,1119.8,3679.775,2020-11-03,2020-11-03,2573.0
2238.5,1083.125,3556.8749999999995,2020-11-04,2020-11-04,2414.0
2153.0,1039.525,3417.0999999999995,2020-11-05,2020-11-05,2379.0
2063.0,1012.325,3327.6749999999997,2020-11-06,2020-11-06,2485.0
1966.5,936.3,3141.899999999999,2020-11-07,2020-11-07,1917.0
1853.5,902.625,2995.225,2020-11-08,2020-11-08,1717.0
1771.0,891.125,2828.1749999999997,2020-11-09,2020-11-09,2565.0
1688.5,802.425,2654.2,2020-11-10,2020-11-10,2428.0
1606.0,759.475,2488.975,2020-11-11,2020-11-11,1712.0
1545.5,762.05,2430.85,2020-11-12,2020-11-12,2154.0
1498.0,749.425,2382.8249999999994,2020-11-13,2020-11-13,2168.0
1457.5,754.825,2259.825,2020-11-14,2020-11-14,1661.0
1428.5,726.375,2203.625,2020-11-15,2020-11-15,1243.0
1424.0,751.0,2136.3749999999995,2020-11-16,2020-11-16,1960.0
1385.5,736.975,2132.725,2020-11-17,2020-11-17,1774.0
1378.0,725.275,2071.0,2020-11-18,2020-11-18,1605.0
1377.0,757.35,2059.15,2020-11-19,2020-11-19,1513.0
1364.5,700.925,2050.7499999999995,2020-11-20,2020-11-20,1495.0
1343.5,732.325,1992.725,2020-11-21,2020-11-21,1042.0
1365.0,737.2,1976.5499999999995,2020-11-22,2020-11-22,788.0
1384.5,758.225,1955.575,2020-11-23,2020-11-23,1307.0
1355.0,771.6,1963.25,2020-11-24,2020-11-24,1349.0
1348.0,756.225,1959.35,2020-11-25,2020-11-25,1225.0
1381.5,762.825,1939.325,2020-11-26,2020-11-26,1150.0
1358.0,765.35,1895.075,2020-11-27,2020-11-27,1161.0
1376.0,783.15,1870.9249999999995,2020-11-28,2020-11-28,803.0
1346.5,779.225,1837.8499999999997,2020-11-29,2020-11-29,712.0
1341.0,790.4,1802.075,2020-11-30,2020-11-30,1130.0
1330.5,761.45,1764.0,2020-12-01,2020-12-01,1136.0
1309.5,792.45,1741.1249999999998,2020-12-02,2020-12-02,1123.0
1272.0,790.15,1663.3,2020-12-03,2020-12-03,1126.0
1265.0,793.55,1617.2249999999997,2020-12-04,2020-12-04,1139.0
1230.5,774.5,1553.725,2020-12-05,2020-12-05,808.0
1211.0,753.9,1523.1999999999998,2020-12-06,2020-12-06,743.0
1206.5,776.625,1455.725,2020-12-07,2020-12-07,1106.0
1184.0,769.85,1458.7499999999998,2020-12-08,2020-12-08,1031.0
1150.0,782.075,1423.775,2020-12-09,2020-12-09,1043.0
1133.5,726.25,1352.35,2020-12-10,2020-12-10,1039.0
1098.5,738.95,1294.675,2020-12-11,2020-12-11,1116.0
1069.5,709.45,1272.3,2020-12-12,2020-12-12,885.0
1050.5,719.65,1232.725,2020-12-13,2020-12-13,674.0
1033.0,697.35,1205.1999999999998,2020-12-14,2020-12-14,1138.0
998.0,693.1,1156.3,2020-12-15,2020-12-15,1110.0
982.0,693.325,1119.625,2020-12-16,2020-12-16,1025.0
967.0,706.85,1084.15,2020-12-17,2020-12-17,1031.0
938.5,688.25,1053.1249999999998,2020-12-18,2020-12-18,1097.0
917.0,711.625,1019.2,2020-12-19,2020-12-19,841.0
889.0,677.775,976.15,2020-12-20,2020-12-20,661.0
867.5,660.375,954.4499999999998,2020-12-21,2020-12-21,1047.0
838.5,651.625,923.825,2020-12-22,2020-12-22,1178.0
820.0,650.25,889.1999999999999,2020-12-23,2020-12-23,1054.0
790.5,642.6,869.525,2020-12-24,2020-12-24,938.0
789.0,637.425,852.05,2020-12-25,2020-12-25,622.0
796.0,644.525,859.1999999999999,2020-12-26,2020-12-26,745.0
821.5,700.425,891.5749999999999,2020-12-27,2020-12-27,716.0
852.5,736.4,922.2,2020-12-28,2020-12-28,1185.0
881.0,751.025,956.525,2020-12-29,2020-12-29,1123.0
919.0,793.925,1005.05,2020-12-30,2020-12-30,1086.0
962.0,841.475,1032.8249999999998,2020-12-31,2020-12-31,949.0
998.5,875.45,1070.15,2021-01-01,2021-01-01,694.0
1027.0,908.125,1121.25,2021-01-02,2021-01-02,832.0
1053.0,937.425,1148.05,2021-01-03,2021-01-03,827.0
1095.5,966.025,1191.925,2021-01-04,2021-01-04,1225.0
1114.0,971.875,1199.525,2021-01-05,2021-01-05,1244.0
1144.5,1015.95,1243.0,2021-01-06,2021-01-06,1138.0
1178.0,1019.5,1273.8249999999998,2021-01-07,2021-01-07,1155.0
1200.0,1052.725,1290.0,2021-01-08,2021-01-08,1183.0
1195.5,1070.125,1291.525,2021-01-09,2021-01-09,916.0
1206.0,1038.05,1300.725,2021-01-10,2021-01-10,735.0
1186.0,1038.8,1295.575,2021-01-11,2021-01-11,1215.0
1190.5,1029.275,1282.1999999999998,2021-01-12,2021-01-12,1347.0
1179.5,1026.5,1279.05,2021-01-13,2021-01-13,1400.0
1173.5,1020.275,1274.15,2021-01-14,2021-01-14,1300.0
1199.0,1025.9,1309.625,2021-01-15,2021-01-15,1408.0
1225.0,1055.85,1340.025,2021-01-16,2021-01-16,1055.0
1261.5,1051.375,1385.525,2021-01-17,2021-01-17,844.0
1305.5,1085.525,1461.9499999999996,2021-01-18,2021-01-18,1447.0
1363.0,1133.7,1508.1999999999998,2021-01-19,2021-01-19,1516.0
1443.0,1161.275,1622.1999999999998,2021-01-20,2021-01-20,1443.0
1519.5,1212.375,1703.8749999999998,2021-01-21,2021-01-21,1448.0
1599.5,1222.475,1828.4,2021-01-22,2021-01-22,1492.0
1641.5,1259.2,1870.2,2021-01-23,2021-01-23,1132.0
1632.5,1231.425,1865.25,2021-01-24,2021-01-24,960.0
1621.0,1257.75,1869.025,2021-01-25,2021-01-25,1531.0
1581.5,1206.3,1863.975,2021-01-26,2021-01-26,1501.0
1555.0,1154.275,1811.7,2021-01-27,2021-01-27,1353.0
1513.0,1081.275,1794.575,2021-01-28,2021-01-28,1418.0
1453.5,1056.925,1749.925,2021-01-29,2021-01-29,1464.0
1427.5,1036.85,1762.05,2021-01-30,2021-01-30,1088.0
1376.5,971.9,1754.775,2021-01-31,2021-01-31,971.0
1369.5,972.425,1689.675,2021-02-01,2021-02-01,1561.0
1330.5,900.375,1703.05,2021-02-02,2021-02-02,1598.0
1314.5,893.7,1700.3249999999998,2021-02-03,2021-02-03,1451.0
1285.5,871.675,1722.25,2021-02-04,2021-02-04,1400.0
1274.5,866.175,1689.15,2021-02-05,2021-02-05,1346.0
1274.0,842.375,1691.05,2021-02-06,2021-02-06,1039.0
1232.0,791.125,1716.1999999999998,2021-02-07,2021-02-07,930.0
1222.5,772.35,1720.1,2021-02-08,2021-02-08,1390.0
1215.5,751.275,1748.8249999999996,2021-02-09,2021-02-09,1423.0
1209.0,747.325,1813.1,2021-02-10,2021-02-10,1237.0
1211.0,754.725,1777.6999999999998,2021-02-11,2021-02-11,1195.0
1189.0,722.35,1789.8249999999991,2021-02-12,2021-02-12,1233.0
1140.5,718.7,1800.4749999999997,2021-02-13,2021-02-13,915.0
1127.0,685.025,1762.4249999999995,2021-02-14,2021-02-14,779.0
1126.0,656.225,1755.8249999999998,2021-02-15,2021-02-15,1268.0
1075.5,630.475,1686.0999999999997,2021-02-16,2021-02-16,1273.0
1012.5,601.125,1657.999999999999,2021-02-17,2021-02-17,1253.0
982.5,548.4,1597.2249999999997,2021-02-18,2021-02-18,1168.0
955.5,553.225,1573.6749999999993,2021-02-19,2021-02-19,1164.0
927.5,547.65,1556.1999999999994,2021-02-20,2021-02-20,1007.0
957.5,566.475,1580.2999999999995,2021-02-21,2021-02-21,887.0
961.5,573.275,1592.099999999999,2021-02-22,2021-02-22,1334.0
993.0,579.95,1657.7249999999997,2021-02-23,2021-02-23,1270.0
1025.0,591.125,1736.524999999999,2021-02-24,2021-02-24,1244.0
1062.5,601.55,1726.6999999999994,2021-02-25,2021-02-25,1261.0
1089.5,597.425,1822.525,2021-02-26,2021-02-26,1255.0
1091.0,630.475,1829.5249999999996,2021-02-27,2021-02-27,1059.0
1112.5,661.7,1935.525,2021-02-28,2021-02-28,875.0
1164.0,642.375,1946.1999999999991,2021-03-01,2021-03-01,1329.0
1197.0,677.425,2076.4749999999995,2021-03-02,2021-03-02,1384.0
1229.5,700.825,2065.5499999999993,2021-03-03,2021-03-03,1314.0
1239.5,695.6,2176.399999999999,2021-03-04,2021-03-04,1294.0
1281.0,728.325,2206.9749999999995,2021-03-05,2021-03-05,1280.0
1297.5,731.225,2256.2499999999995,2021-03-06,2021-03-06,985.0
1305.5,720.125,2262.5249999999996,2021-03-07,2021-03-07,923.0
1315.0,738.875,2359.274999999999,2021-03-08,2021-03-08,1354.0
1347.0,744.075,2384.2249999999985,2021-03-09,2021-03-09,1319.0
1355.5,751.175,2348.1999999999994,2021-03-10,2021-03-10,1276.0
1397.5,762.6,2434.2499999999995,2021-03-11,2021-03-11,1400.0
1444.0,776.175,2488.4749999999995,2021-03-12,2021-03-12,1313.0
