adu-median,adu-p1,adu-p2,time,index,date,hosp_pred
4.0,1.0,12.0,2020-02-22,,2020-02-22,
6.0,2.0,14.524999999999991,2020-02-23,,2020-02-23,
7.0,2.0,13.574999999999974,2020-02-24,,2020-02-24,
8.0,3.0,17.0,2020-02-25,,2020-02-25,
10.0,2.475,21.0,2020-02-26,,2020-02-26,
10.5,3.475,24.0,2020-02-27,,2020-02-27,
14.0,6.0,25.52499999999999,2020-02-28,,2020-02-28,
17.0,6.475,33.0,2020-02-29,,2020-02-29,
21.0,9.475,38.57499999999997,2020-03-01,0.0,2020-03-01,16.0
23.0,11.0,47.52499999999999,2020-03-02,1.0,2020-03-02,20.0
29.0,12.0,53.62499999999996,2020-03-03,2.0,2020-03-03,15.0
36.0,18.475,60.52499999999999,2020-03-04,3.0,2020-03-04,44.0
44.0,20.475,73.52499999999999,2020-03-05,4.0,2020-03-05,36.0
50.0,25.475,86.04999999999998,2020-03-06,5.0,2020-03-06,51.0
61.5,31.950000000000003,114.24999999999991,2020-03-07,6.0,2020-03-07,52.0
74.5,43.0,128.04999999999998,2020-03-08,7.0,2020-03-08,36.0
84.0,47.475,147.67499999999995,2020-03-09,8.0,2020-03-09,55.0
101.0,54.475,173.575,2020-03-10,9.0,2020-03-10,68.0
122.0,63.475,209.575,2020-03-11,10.0,2020-03-11,104.0
148.0,84.42500000000001,252.0,2020-03-12,11.0,2020-03-12,133.0
169.0,95.275,289.04999999999995,2020-03-13,12.0,2020-03-13,189.0
213.0,116.0,351.04999999999995,2020-03-14,13.0,2020-03-14,208.0
257.0,141.375,421.2499999999999,2020-03-15,14.0,2020-03-15,264.0
303.0,171.0,504.05,2020-03-16,15.0,2020-03-16,420.0
352.5,204.475,591.5749999999999,2020-03-17,16.0,2020-03-17,431.0
420.5,242.475,702.4999999999998,2020-03-18,17.0,2020-03-18,521.0
501.0,293.70000000000005,849.5999999999998,2020-03-19,18.0,2020-03-19,669.0
609.0,349.225,987.2749999999996,2020-03-20,19.0,2020-03-20,783.0
706.0,415.9,1190.6,2020-03-21,20.0,2020-03-21,703.0
882.0,487.8,1414.05,2020-03-22,21.0,2020-03-22,761.0
1038.0,576.3,1702.9499999999998,2020-03-23,22.0,2020-03-23,1164.0
1129.5,687.925,1877.0999999999997,2020-03-24,23.0,2020-03-24,1103.0
1213.5,719.8,2002.825,2020-03-25,24.0,2020-03-25,1310.0
1228.5,745.15,2108.15,2020-03-26,25.0,2020-03-26,1349.0
1248.5,747.9,2064.05,2020-03-27,26.0,2020-03-27,1572.0
1223.5,719.2249999999999,2036.7,2020-03-28,27.0,2020-03-28,1274.0
1207.5,712.125,1980.65,2020-03-29,28.0,2020-03-29,990.0
1157.5,686.8,1892.05,2020-03-30,29.0,2020-03-30,1350.0
1112.5,655.175,1815.8,2020-03-31,30.0,2020-03-31,1320.0
1104.5,649.475,1699.8249999999998,2020-04-01,31.0,2020-04-01,1165.0
1019.5,615.9000000000001,1672.35,2020-04-02,32.0,2020-04-02,997.0
993.5,594.8,1582.1999999999996,2020-04-03,33.0,2020-04-03,1038.0
954.0,580.425,1461.525,2020-04-04,34.0,2020-04-04,812.0
896.0,537.925,1382.3,2020-04-05,35.0,2020-04-05,528.0
877.5,520.7,1317.1999999999998,2020-04-06,36.0,2020-04-06,857.0
806.5,502.125,1258.25,2020-04-07,37.0,2020-04-07,735.0
774.0,479.925,1207.25,2020-04-08,38.0,2020-04-08,634.0
742.5,461.375,1154.2999999999995,2020-04-09,39.0,2020-04-09,677.0
697.0,433.45,1077.25,2020-04-10,40.0,2020-04-10,609.0
664.5,413.175,1004.05,2020-04-11,41.0,2020-04-11,486.0
646.0,383.175,951.15,2020-04-12,42.0,2020-04-12,486.0
616.0,362.475,926.15,2020-04-13,43.0,2020-04-13,361.0
579.0,359.85,859.8749999999999,2020-04-14,44.0,2020-04-14,466.0
544.5,331.375,814.625,2020-04-15,45.0,2020-04-15,432.0
517.0,320.65,796.1999999999996,2020-04-16,46.0,2020-04-16,401.0
485.0,307.475,723.1999999999999,2020-04-17,47.0,2020-04-17,412.0
460.0,284.35,692.575,2020-04-18,48.0,2020-04-18,281.0
449.5,282.275,665.05,2020-04-19,49.0,2020-04-19,198.0
422.0,256.75,620.9249999999998,2020-04-20,50.0,2020-04-20,300.0
399.5,271.5,573.5250000000001,2020-04-21,51.0,2020-04-21,339.0
377.0,251.125,548.1,2020-04-22,52.0,2020-04-22,242.0
354.5,227.475,506.1,2020-04-23,53.0,2020-04-23,258.0
345.5,214.8,488.05,2020-04-24,54.0,2020-04-24,234.0
317.5,203.375,464.7249999999999,2020-04-25,55.0,2020-04-25,155.0
302.0,193.95,424.625,2020-04-26,56.0,2020-04-26,139.0
291.5,181.375,407.05,2020-04-27,57.0,2020-04-27,203.0
275.0,180.95,382.19999999999993,2020-04-28,58.0,2020-04-28,202.0
256.5,162.7,362.525,2020-04-29,59.0,2020-04-29,173.0
249.0,166.375,328.1,2020-04-30,60.0,2020-04-30,170.0
237.5,156.95,324.04999999999995,2020-05-01,61.0,2020-05-01,110.0
217.5,143.89999999999998,302.575,2020-05-02,62.0,2020-05-02,98.0
211.5,146.9,288.04999999999995,2020-05-03,63.0,2020-05-03,70.0
197.0,129.47500000000002,271.67499999999995,2020-05-04,64.0,2020-05-04,130.0
185.5,128.425,266.05,2020-05-05,65.0,2020-05-05,144.0
183.5,109.9,249.0,2020-05-06,66.0,2020-05-06,129.0
167.5,116.325,228.525,2020-05-07,67.0,2020-05-07,118.0
159.0,100.85,216.05,2020-05-08,68.0,2020-05-08,63.0
154.5,106.95,206.1,2020-05-09,69.0,2020-05-09,76.0
146.5,99.95,189.575,2020-05-10,70.0,2020-05-10,66.0
139.0,96.0,183.19999999999996,2020-05-11,71.0,2020-05-11,76.0
134.5,83.475,172.67499999999995,2020-05-12,72.0,2020-05-12,94.0
125.0,86.325,162.09999999999997,2020-05-13,73.0,2020-05-13,101.0
114.0,80.475,154.09999999999997,2020-05-14,74.0,2020-05-14,76.0
109.0,74.85,142.0,2020-05-15,75.0,2020-05-15,69.0
105.0,69.42500000000001,139.0,2020-05-16,76.0,2020-05-16,69.0
99.0,68.475,126.0,2020-05-17,77.0,2020-05-17,46.0
94.0,67.95,120.57499999999996,2020-05-18,78.0,2020-05-18,77.0
91.5,61.0,121.525,2020-05-19,79.0,2020-05-19,51.0
88.0,58.475,110.04999999999998,2020-05-20,80.0,2020-05-20,48.0
82.0,54.95,111.525,2020-05-21,81.0,2020-05-21,38.0
79.0,52.95,100.525,2020-05-22,82.0,2020-05-22,55.0
75.0,50.475,92.04999999999998,2020-05-23,83.0,2020-05-23,36.0
72.0,50.95,90.525,2020-05-24,84.0,2020-05-24,35.0
69.0,45.95,86.0,2020-05-25,85.0,2020-05-25,48.0
64.0,46.0,82.0,2020-05-26,86.0,2020-05-26,39.0
62.0,40.95,81.04999999999998,2020-05-27,87.0,2020-05-27,43.0
60.0,40.475,77.04999999999998,2020-05-28,88.0,2020-05-28,22.0
57.0,37.0,73.04999999999998,2020-05-29,89.0,2020-05-29,31.0
52.5,33.95,70.52499999999999,2020-05-30,90.0,2020-05-30,36.0
49.5,36.95,66.0,2020-05-31,91.0,2020-05-31,20.0
47.0,34.0,62.0,2020-06-01,92.0,2020-06-01,29.0
46.0,33.474999999999994,60.04999999999998,2020-06-02,93.0,2020-06-02,37.0
44.0,29.0,57.0,2020-06-03,94.0,2020-06-03,39.0
41.0,26.9,58.52499999999999,2020-06-04,95.0,2020-06-04,39.0
40.0,25.950000000000003,51.52499999999999,2020-06-05,96.0,2020-06-05,34.0
39.0,23.475,52.0,2020-06-06,97.0,2020-06-06,24.0
37.0,26.0,51.0,2020-06-07,98.0,2020-06-07,16.0
37.0,25.0,46.0,2020-06-08,99.0,2020-06-08,24.0
33.0,22.0,44.0,2020-06-09,100.0,2020-06-09,28.0
32.0,19.425,43.0,2020-06-10,101.0,2020-06-10,25.0
31.0,22.0,41.52499999999999,2020-06-11,102.0,2020-06-11,23.0
29.0,19.0,40.0,2020-06-12,103.0,2020-06-12,20.0
27.0,19.0,36.0,2020-06-13,104.0,2020-06-13,12.0
26.0,18.0,39.0,2020-06-14,105.0,2020-06-14,20.0
24.0,15.475,35.0,2020-06-15,106.0,2020-06-15,18.0
24.0,15.0,34.0,2020-06-16,107.0,2020-06-16,22.0
24.0,14.0,33.0,2020-06-17,108.0,2020-06-17,19.0
23.0,13.0,32.04999999999998,2020-06-18,109.0,2020-06-18,20.0
23.0,13.475,31.57499999999997,2020-06-19,110.0,2020-06-19,16.0
21.0,11.0,29.52499999999999,2020-06-20,111.0,2020-06-20,13.0
19.0,11.475,29.52499999999999,2020-06-21,112.0,2020-06-21,23.0
18.0,11.0,25.52499999999999,2020-06-22,113.0,2020-06-22,15.0
17.0,10.0,25.52499999999999,2020-06-23,114.0,2020-06-23,19.0
16.0,10.475,24.0,2020-06-24,115.0,2020-06-24,23.0
16.5,10.0,23.52499999999999,2020-06-25,116.0,2020-06-25,17.0
15.5,9.475,25.52499999999999,2020-06-26,117.0,2020-06-26,17.0
14.0,9.0,21.0,2020-06-27,118.0,2020-06-27,15.0
13.0,7.0,24.0,2020-06-28,119.0,2020-06-28,13.0
13.0,8.0,21.0,2020-06-29,120.0,2020-06-29,21.0
12.0,6.0,20.0,2020-06-30,121.0,2020-06-30,13.0
12.0,6.0,20.0,2020-07-01,122.0,2020-07-01,17.0
12.0,5.0,18.52499999999999,2020-07-02,123.0,2020-07-02,15.0
11.0,7.0,17.52499999999999,2020-07-03,124.0,2020-07-03,18.0
10.0,6.0,16.0,2020-07-04,125.0,2020-07-04,9.0
10.0,4.0,16.52499999999999,2020-07-05,126.0,2020-07-05,14.0
9.0,4.0,17.0,2020-07-06,127.0,2020-07-06,23.0
9.5,4.0,15.0,2020-07-07,128.0,2020-07-07,20.0
9.0,4.0,15.0,2020-07-08,129.0,2020-07-08,13.0
8.0,4.0,13.524999999999991,2020-07-09,130.0,2020-07-09,26.0
9.0,3.0,14.049999999999985,2020-07-10,131.0,2020-07-10,17.0
9.0,4.0,14.524999999999991,2020-07-11,132.0,2020-07-11,16.0
8.0,3.0,14.0,2020-07-12,133.0,2020-07-12,14.0
8.5,4.0,16.049999999999983,2020-07-13,134.0,2020-07-13,31.0
7.5,4.0,13.524999999999991,2020-07-14,135.0,2020-07-14,12.0
9.0,3.0,14.524999999999991,2020-07-15,136.0,2020-07-15,17.0
9.0,4.0,15.0,2020-07-16,137.0,2020-07-16,21.0
9.0,4.95,15.049999999999985,2020-07-17,138.0,2020-07-17,30.0
10.5,5.0,17.0,2020-07-18,139.0,2020-07-18,17.0
10.5,4.0,19.52499999999999,2020-07-19,140.0,2020-07-19,16.0
11.0,4.475,18.52499999999999,2020-07-20,141.0,2020-07-20,34.0
11.0,5.0,19.0,2020-07-21,142.0,2020-07-21,27.0
11.0,5.475,21.0,2020-07-22,143.0,2020-07-22,25.0
12.0,6.0,20.049999999999983,2020-07-23,144.0,2020-07-23,23.0
13.5,6.0,20.0,2020-07-24,145.0,2020-07-24,38.0
13.0,6.0,20.52499999999999,2020-07-25,146.0,2020-07-25,29.0
14.0,6.475,21.52499999999999,2020-07-26,147.0,2020-07-26,24.0
15.0,7.475,24.0,2020-07-27,148.0,2020-07-27,41.0
16.0,8.0,22.52499999999999,2020-07-28,149.0,2020-07-28,29.0
17.0,10.0,28.52499999999999,2020-07-29,150.0,2020-07-29,37.0
16.5,8.475,28.52499999999999,2020-07-30,151.0,2020-07-30,36.0
18.0,9.0,26.57499999999997,2020-07-31,152.0,2020-07-31,46.0
18.0,7.949999999999999,27.0,2020-08-01,153.0,2020-08-01,26.0
18.0,10.0,28.0,2020-08-02,154.0,2020-08-02,29.0
21.0,12.0,31.52499999999999,2020-08-03,155.0,2020-08-03,38.0
21.0,12.0,32.52499999999999,2020-08-04,156.0,2020-08-04,40.0
22.0,11.0,35.04999999999998,2020-08-05,157.0,2020-08-05,45.0
22.0,12.0,37.0,2020-08-06,158.0,2020-08-06,46.0
25.0,13.475,36.52499999999999,2020-08-07,159.0,2020-08-07,41.0
28.0,13.475,40.57499999999997,2020-08-08,160.0,2020-08-08,28.0
26.0,13.0,38.52499999999999,2020-08-09,161.0,2020-08-09,35.0
28.0,14.0,40.57499999999997,2020-08-10,162.0,2020-08-10,38.0
28.0,15.0,42.52499999999999,2020-08-11,163.0,2020-08-11,51.0
31.0,15.0,45.0,2020-08-12,164.0,2020-08-12,62.0
32.0,18.0,48.04999999999998,2020-08-13,165.0,2020-08-13,45.0
33.0,16.9,47.52499999999999,2020-08-14,166.0,2020-08-14,38.0
37.0,20.0,49.52499999999999,2020-08-15,167.0,2020-08-15,40.0
36.0,19.475,52.0,2020-08-16,168.0,2020-08-16,45.0
37.5,21.475,57.0,2020-08-17,169.0,2020-08-17,52.0
41.0,17.0,59.0,2020-08-18,170.0,2020-08-18,65.0
41.5,21.0,63.57499999999997,2020-08-19,171.0,2020-08-19,65.0
44.5,23.0,62.04999999999998,2020-08-20,172.0,2020-08-20,59.0
45.5,20.950000000000003,65.52499999999999,2020-08-21,173.0,2020-08-21,54.0
47.0,26.0,69.57499999999997,2020-08-22,174.0,2020-08-22,45.0
49.5,26.475,72.04999999999998,2020-08-23,175.0,2020-08-23,51.0
52.0,27.0,70.0,2020-08-24,176.0,2020-08-24,78.0
55.0,25.950000000000003,81.04999999999998,2020-08-25,177.0,2020-08-25,69.0
58.5,28.0,86.04999999999998,2020-08-26,178.0,2020-08-26,65.0
59.0,29.475,85.0,2020-08-27,179.0,2020-08-27,92.0
65.0,28.0,88.52499999999999,2020-08-28,180.0,2020-08-28,75.0
65.5,29.425,97.04999999999998,2020-08-29,181.0,2020-08-29,43.0
70.5,35.0,101.57499999999996,2020-08-30,182.0,2020-08-30,67.0
71.0,34.475,103.525,2020-08-31,183.0,2020-08-31,98.0
74.0,32.425,105.525,2020-09-01,184.0,2020-09-01,97.0
81.0,37.0,114.24999999999991,2020-09-02,185.0,2020-09-02,90.0
83.0,37.0,117.525,2020-09-03,186.0,2020-09-03,116.0
86.5,42.9,122.57499999999996,2020-09-04,187.0,2020-09-04,122.0
86.0,42.95,130.52499999999998,2020-09-05,188.0,2020-09-05,94.0
96.5,40.475,138.0,2020-09-06,189.0,2020-09-06,78.0
100.0,45.475,144.575,2020-09-07,190.0,2020-09-07,142.0
108.5,52.475,155.09999999999997,2020-09-08,191.0,2020-09-08,123.0
114.0,52.95,172.52499999999998,2020-09-09,192.0,2020-09-09,111.0
130.5,57.425,178.575,2020-09-10,193.0,2020-09-10,139.0
139.0,63.475,197.7249999999999,2020-09-11,194.0,2020-09-11,148.0
146.0,61.475,217.525,2020-09-12,195.0,2020-09-12,133.0
144.5,68.475,224.77499999999992,2020-09-13,196.0,2020-09-13,110.0
151.5,64.475,220.62499999999997,2020-09-14,197.0,2020-09-14,176.0
151.5,59.475,229.05,2020-09-15,198.0,2020-09-15,200.0
154.5,66.94999999999999,232.1,2020-09-16,199.0,2020-09-16,197.0
158.5,67.95,236.1,2020-09-17,200.0,2020-09-17,198.0
160.5,71.9,231.05,2020-09-18,201.0,2020-09-18,195.0
161.0,63.95,236.575,2020-09-19,202.0,2020-09-19,166.0
160.5,65.475,251.62499999999997,2020-09-20,203.0,2020-09-20,158.0
161.0,66.0,247.525,2020-09-21,204.0,2020-09-21,233.0
168.0,70.80000000000001,260.0749999999998,2020-09-22,205.0,2020-09-22,217.0
167.0,74.475,255.1,2020-09-23,206.0,2020-09-23,192.0
168.5,69.75,261.575,2020-09-24,207.0,2020-09-24,196.0
171.0,71.425,271.57499999999993,2020-09-25,208.0,2020-09-25,196.0
177.0,70.94999999999999,265.19999999999993,2020-09-26,209.0,2020-09-26,161.0
186.0,74.0,277.67499999999995,2020-09-27,210.0,2020-09-27,127.0
185.0,69.95,285.1,2020-09-28,211.0,2020-09-28,216.0
182.0,76.475,291.54999999999984,2020-09-29,212.0,2020-09-29,202.0
198.5,85.9,300.8749999999999,2020-09-30,213.0,2020-09-30,207.0
195.5,86.475,313.525,2020-10-01,214.0,2020-10-01,227.0
206.0,76.0,325.7749999999999,2020-10-02,215.0,2020-10-02,195.0
213.0,81.475,327.77499999999986,2020-10-03,216.0,2020-10-03,171.0
213.0,90.95,330.8249999999999,2020-10-04,217.0,2020-10-04,140.0
211.5,83.0,332.525,2020-10-05,218.0,2020-10-05,242.0
209.0,89.9,358.575,2020-10-06,219.0,2020-10-06,214.0
219.0,89.0,374.92499999999984,2020-10-07,220.0,2020-10-07,218.0
223.0,87.9,377.525,2020-10-08,221.0,2020-10-08,289.0
237.0,88.94999999999999,386.525,2020-10-09,222.0,2020-10-09,266.0
249.0,95.475,393.7249999999999,2020-10-10,223.0,2020-10-10,219.0
256.0,102.475,419.525,2020-10-11,224.0,2020-10-11,211.0
286.0,110.9,443.57499999999993,2020-10-12,225.0,2020-10-12,315.0
303.5,123.95,461.525,2020-10-13,226.0,2020-10-13,297.0
318.5,131.95,542.3499999999999,2020-10-14,227.0,2020-10-14,338.0
346.0,137.9,541.05,2020-10-15,228.0,2020-10-15,317.0
371.5,148.275,585.1499999999999,2020-10-16,229.0,2020-10-16,371.0
398.5,159.925,638.525,2020-10-17,230.0,2020-10-17,310.0
429.0,162.425,691.575,2020-10-18,231.0,2020-10-18,282.0
470.0,193.0,720.7749999999999,2020-10-19,232.0,2020-10-19,474.0
493.5,197.275,773.0249999999999,2020-10-20,233.0,2020-10-20,458.0
539.0,212.475,825.5499999999997,2020-10-21,234.0,2020-10-21,510.0
569.5,236.95,878.7749999999999,2020-10-22,235.0,2020-10-22,514.0
610.5,237.65,937.1,2020-10-23,236.0,2020-10-23,580.0
645.5,249.6,1015.5499999999996,2020-10-24,237.0,2020-10-24,435.0
673.5,274.55,1064.4499999999998,2020-10-25,238.0,2020-10-25,468.0
695.0,293.9,1115.7499999999995,2020-10-26,239.0,2020-10-26,625.0
752.0,299.32500000000005,1166.8249999999998,2020-10-27,240.0,2020-10-27,639.0
759.0,303.875,1200.0749999999994,2020-10-28,241.0,2020-10-28,606.0
792.5,321.9,1264.2749999999996,2020-10-29,242.0,2020-10-29,646.0
804.5,317.925,1256.775,2020-10-30,243.0,2020-10-30,701.0
818.0,328.175,1262.4,2020-10-31,244.0,2020-10-31,607.0
825.5,317.375,1274.2499999999995,2020-11-01,245.0,2020-11-01,558.0
827.5,313.65,1286.25,2020-11-02,246.0,2020-11-02,757.0
836.0,319.725,1240.35,2020-11-03,247.0,2020-11-03,701.0
805.5,310.32500000000005,1246.7999999999995,2020-11-04,248.0,2020-11-04,676.0
785.5,299.5,1184.874999999999,2020-11-05,249.0,2020-11-05,678.0
710.5,294.175,1141.5749999999996,2020-11-06,250.0,2020-11-06,693.0
700.5,287.325,1084.2999999999995,2020-11-07,251.0,2020-11-07,575.0
681.5,262.79999999999995,1043.2249999999997,2020-11-08,252.0,2020-11-08,511.0
639.5,252.275,969.525,2020-11-09,253.0,2020-11-09,734.0
622.0,250.425,914.0999999999996,2020-11-10,254.0,2020-11-10,657.0
595.0,245.8,902.525,2020-11-11,255.0,2020-11-11,483.0
563.5,237.4,884.6749999999996,2020-11-12,256.0,2020-11-12,610.0
535.0,219.0,816.8749999999999,2020-11-13,257.0,2020-11-13,554.0
525.0,225.425,780.1,2020-11-14,258.0,2020-11-14,409.0
513.5,222.8,774.5499999999997,2020-11-15,259.0,2020-11-15,306.0
521.5,215.325,734.675,2020-11-16,260.0,2020-11-16,519.0
504.5,204.75,731.7499999999998,2020-11-17,261.0,2020-11-17,425.0
504.5,216.325,718.0249999999999,2020-11-18,262.0,2020-11-18,394.0
488.0,219.425,698.9749999999999,2020-11-19,263.0,2020-11-19,389.0
487.5,203.375,696.625,2020-11-20,264.0,2020-11-20,382.0
487.0,213.6,676.9249999999998,2020-11-21,265.0,2020-11-21,268.0
470.5,223.475,687.05,2020-11-22,266.0,2020-11-22,204.0
484.5,239.75,684.7749999999999,2020-11-23,267.0,2020-11-23,315.0
491.0,218.55,655.4499999999998,2020-11-24,268.0,2020-11-24,300.0
475.5,230.8,669.625,2020-11-25,269.0,2020-11-25,284.0
475.5,232.975,655.1249999999998,2020-11-26,270.0,2020-11-26,262.0
491.0,219.9,648.675,2020-11-27,271.0,2020-11-27,280.0
482.5,233.475,642.2749999999997,2020-11-28,272.0,2020-11-28,183.0
483.0,223.7,635.3999999999999,2020-11-29,273.0,2020-11-29,181.0
463.0,234.225,609.1999999999999,2020-11-30,274.0,2020-11-30,283.0
449.5,227.95,595.4999999999998,2020-12-01,275.0,2020-12-01,243.0
457.5,219.325,586.7249999999999,2020-12-02,276.0,2020-12-02,236.0
441.0,217.225,575.675,2020-12-03,277.0,2020-12-03,260.0
434.5,225.375,552.7749999999999,2020-12-04,278.0,2020-12-04,244.0
429.0,224.95,530.525,2020-12-05,279.0,2020-12-05,162.0
417.5,225.175,516.625,2020-12-06,280.0,2020-12-06,179.0
416.0,216.0,501.7749999999999,2020-12-07,281.0,2020-12-07,242.0
407.5,219.175,497.625,2020-12-08,282.0,2020-12-08,235.0
386.0,205.7,470.1,2020-12-09,283.0,2020-12-09,223.0
385.5,198.225,456.625,2020-12-10,284.0,2020-12-10,218.0
376.0,213.325,440.0,2020-12-11,285.0,2020-12-11,250.0
367.5,200.125,434.0,2020-12-12,286.0,2020-12-12,202.0
357.0,215.65,409.675,2020-12-13,287.0,2020-12-13,148.0
346.0,205.325,403.625,2020-12-14,288.0,2020-12-14,241.0
336.5,190.75,391.525,2020-12-15,289.0,2020-12-15,246.0
333.0,209.9,401.05,2020-12-16,290.0,2020-12-16,221.0
319.5,189.7,372.625,2020-12-17,291.0,2020-12-17,232.0
312.5,189.475,357.525,2020-12-18,292.0,2020-12-18,228.0
310.5,192.95,344.57499999999993,2020-12-19,293.0,2020-12-19,196.0
295.5,198.0,335.04999999999995,2020-12-20,294.0,2020-12-20,181.0
287.0,183.275,325.04999999999995,2020-12-21,295.0,2020-12-21,246.0
277.0,198.375,312.04999999999995,2020-12-22,296.0,2020-12-22,249.0
271.5,197.9,312.625,2020-12-23,297.0,2020-12-23,224.0
264.0,186.225,302.05,2020-12-24,298.0,2020-12-24,191.0
257.5,176.475,304.625,2020-12-25,299.0,2020-12-25,136.0
265.0,198.0,308.04999999999995,2020-12-26,300.0,2020-12-26,185.0
276.0,208.475,313.19999999999993,2020-12-27,301.0,2020-12-27,201.0
280.5,218.375,316.04999999999995,2020-12-28,302.0,2020-12-28,290.0
296.5,224.375,331.525,2020-12-29,303.0,2020-12-29,235.0
315.0,234.475,348.57499999999993,2020-12-30,304.0,2020-12-30,243.0
328.5,254.175,370.625,2020-12-31,305.0,2020-12-31,187.0
336.5,261.75,382.0,2021-01-01,306.0,2021-01-01,163.0
346.5,300.32500000000005,398.1499999999999,2021-01-02,307.0,2021-01-02,192.0
357.0,295.0,414.625,2021-01-03,308.0,2021-01-03,184.0
373.5,295.975,420.525,2021-01-04,309.0,2021-01-04,290.0
383.0,311.70000000000005,427.0,2021-01-05,310.0,2021-01-05,264.0
393.5,330.475,441.525,2021-01-06,311.0,2021-01-06,261.0
400.0,323.475,459.82499999999993,2021-01-07,312.0,2021-01-07,245.0
410.0,338.425,456.0,2021-01-08,313.0,2021-01-08,243.0
415.5,343.45,457.05,2021-01-09,314.0,2021-01-09,243.0
416.0,339.9,467.525,2021-01-10,315.0,2021-01-10,182.0
411.5,343.9,465.675,2021-01-11,316.0,2021-01-11,270.0
414.5,348.8,467.525,2021-01-12,317.0,2021-01-12,330.0
421.5,359.475,467.0,2021-01-13,318.0,2021-01-13,324.0
422.5,351.475,464.57499999999993,2021-01-14,319.0,2021-01-14,270.0
426.0,357.4,493.525,2021-01-15,320.0,2021-01-15,335.0
433.0,361.0,490.525,2021-01-16,321.0,2021-01-16,246.0
443.0,376.9500000000001,505.525,2021-01-17,322.0,2021-01-17,199.0
465.5,386.425,513.05,2021-01-18,323.0,2021-01-18,334.0
483.5,399.475,548.05,2021-01-19,324.0,2021-01-19,366.0
511.0,417.275,580.525,2021-01-20,325.0,2021-01-20,349.0
538.5,439.475,630.525,2021-01-21,326.0,2021-01-21,344.0
561.0,464.9,642.575,2021-01-22,327.0,2021-01-22,401.0
566.0,446.9,669.15,2021-01-23,328.0,2021-01-23,288.0
563.0,450.75,676.0,2021-01-24,329.0,2021-01-24,250.0
550.5,429.9,652.7249999999999,2021-01-25,330.0,2021-01-25,403.0
545.0,416.375,649.05,2021-01-26,331.0,2021-01-26,361.0
540.0,412.85,634.0999999999999,2021-01-27,332.0,2021-01-27,331.0
512.5,372.375,626.05,2021-01-28,333.0,2021-01-28,353.0
500.5,375.475,603.15,2021-01-29,334.0,2021-01-29,360.0
492.0,358.95,594.9749999999999,2021-01-30,335.0,2021-01-30,281.0
476.5,333.75,596.0749999999998,2021-01-31,336.0,2021-01-31,275.0
460.5,329.17499999999995,585.625,2021-02-01,337.0,2021-02-01,413.0
456.5,319.8,581.05,2021-02-02,338.0,2021-02-02,433.0
440.5,316.375,598.625,2021-02-03,339.0,2021-02-03,413.0
428.0,297.85,583.0999999999999,2021-02-04,340.0,2021-02-04,384.0
429.0,278.5,592.5749999999999,2021-02-05,341.0,2021-02-05,365.0
430.5,283.85,575.5749999999999,2021-02-06,342.0,2021-02-06,305.0
421.5,279.85,590.575,2021-02-07,343.0,2021-02-07,250.0
409.5,277.575,614.0999999999999,2021-02-08,344.0,2021-02-08,367.0
406.0,279.275,617.0999999999999,2021-02-09,345.0,2021-02-09,386.0
411.5,280.275,637.3,2021-02-10,346.0,2021-02-10,346.0
