E_ch,E_te,E_ad,E_se,Ip_ch,Ip_te,Ip_ad,Ip_se,Ias_ch,Ias_te,Ias_ad,Ias_se,Ips_ch,Ips_te,Ips_ad,Ips_se,Ims_ch,Ims_te,Ims_ad,Ims_se,Iss_ch,Iss_te,Iss_ad,Iss_se,W_ch,W_te,W_ad,W_se,H_ch,H_te,H_ad,H_se,R_ch,R_te,R_ad,R_se,ABpre_ch,ABpre_te,ABpre_ad,ABpre_se,ABpos_ch,ABpos_te,ABpos_ad,ABpos_se,ABneg_ch,ABneg_te,ABneg_ad,ABneg_se
5389.0,11411.0,20373.0,1929.0,2242.0,4694.0,8651.0,823.0,1235.0,2663.0,5175.0,512.0,1286.0,2634.0,1491.0,174.0,614.0,1277.0,5646.0,380.0,18.0,8.0,219.0,146.0,23.0,13.0,389.0,254.0,184.0,87.0,3294.0,3603.0,1578934.0,2194991.0,10922858.0,2465629.0,34999.0,52024.0,147513.0,18858.0,1056646.0,1495361.0,6830788.0,1511580.0,492891.0,658982.0,3969412.0,941083.0
5996.0,13188.0,23413.0,2326.0,2584.0,5496.0,10072.0,937.0,1376.0,2937.0,5999.0,616.0,1470.0,3104.0,1866.0,170.0,729.0,1508.0,6558.0,402.0,16.0,9.0,268.0,185.0,26.0,14.0,437.0,336.0,196.0,107.0,3781.0,3882.0,1578495.0,2193396.0,10851040.0,2434671.0,39291.0,59723.0,168596.0,21164.0,1057407.0,1501121.0,6783811.0,1485605.0,488194.0,645727.0,3927604.0,934430.0
6926.0,15949.0,27267.0,2562.0,2932.0,6641.0,11457.0,1059.0,1621.0,3597.0,6663.0,736.0,1656.0,3595.0,2057.0,228.0,822.0,1716.0,7417.0,468.0,12.0,15.0,309.0,209.0,30.0,20.0,447.0,341.0,210.0,106.0,4044.0,4185.0,1509831.0,2084689.0,10445006.0,2340250.0,42988.0,68853.0,183741.0,23039.0,992097.0,1406633.0,6337647.0,1378098.0,482029.0,624893.0,3956002.0,946339.0
4400.0,9680.0,17499.0,1705.0,2003.0,3941.0,7454.0,750.0,1146.0,2231.0,4373.0,462.0,1136.0,2177.0,1315.0,146.0,534.0,1174.0,4907.0,307.0,12.0,9.0,200.0,150.0,19.0,23.0,314.0,254.0,162.0,93.0,3003.0,3178.0,1610240.0,2252451.0,11173420.0,2532806.0,30959.0,45222.0,130627.0,16895.0,1087659.0,1542310.0,7105266.0,1583461.0,496634.0,674567.0,3959083.0,937697.0
4422.0,9286.0,16958.0,1580.0,1797.0,3943.0,7099.0,694.0,1025.0,2174.0,4291.0,467.0,1097.0,2204.0,1345.0,144.0,523.0,1086.0,4769.0,308.0,12.0,3.0,180.0,138.0,17.0,12.0,302.0,236.0,133.0,93.0,2829.0,3175.0,1615110.0,2265398.0,11192591.0,2541238.0,29767.0,44406.0,126870.0,16437.0,1093314.0,1552166.0,7160118.0,1602314.0,496633.0,678341.0,3926408.0,927649.0
3293.0,7120.0,12949.0,1299.0,1420.0,3021.0,5412.0,508.0,839.0,1631.0,3257.0,349.0,850.0,1687.0,939.0,99.0,450.0,821.0,3664.0,240.0,12.0,5.0,132.0,101.0,13.0,6.0,231.0,203.0,129.0,58.0,2339.0,2558.0,1632083.0,2296642.0,11397180.0,2604655.0,23945.0,34440.0,101051.0,13236.0,1113732.0,1577977.0,7409300.0,1676691.0,498119.0,691454.0,3902793.0,918786.0
5637.0,12262.0,22411.0,2050.0,2327.0,5192.0,9498.0,909.0,1357.0,2863.0,5640.0,565.0,1325.0,2916.0,1685.0,174.0,633.0,1407.0,6054.0,383.0,11.0,14.0,231.0,173.0,22.0,13.0,414.0,324.0,176.0,86.0,3497.0,3718.0,1580023.0,2202540.0,10886511.0,2445740.0,37638.0,57291.0,159961.0,20581.0,1061555.0,1509268.0,6845826.0,1503093.0,486681.0,648472.0,3907733.0,928312.0
7494.0,16350.0,28984.0,2727.0,3085.0,6909.0,12467.0,1171.0,1716.0,3780.0,7272.0,742.0,1735.0,3847.0,2120.0,221.0,899.0,1893.0,8189.0,512.0,20.0,21.0,291.0,186.0,35.0,29.0,556.0,366.0,196.0,123.0,4464.0,4726.0,1561766.0,2161610.0,10614820.0,2358225.0,46778.0,73364.0,202185.0,25297.0,1047231.0,1482665.0,6575364.0,1417502.0,475443.0,622183.0,3872620.0,923350.0
5170.0,11451.0,20194.0,1901.0,2268.0,4751.0,8712.0,842.0,1252.0,2666.0,4964.0,501.0,1259.0,2594.0,1502.0,163.0,592.0,1332.0,5656.0,324.0,14.0,11.0,217.0,147.0,21.0,12.0,352.0,257.0,174.0,89.0,3304.0,3487.0,1566590.0,2183181.0,10897447.0,2462697.0,34196.0,52088.0,145900.0,18547.0,1043653.0,1482526.0,6787740.0,1503981.0,494321.0,660022.0,3988504.0,945890.0
3968.0,8984.0,15608.0,1568.0,1755.0,3723.0,6809.0,662.0,982.0,1999.0,3934.0,406.0,995.0,2058.0,1192.0,135.0,507.0,1022.0,4359.0,302.0,3.0,10.0,160.0,126.0,22.0,12.0,293.0,197.0,134.0,66.0,2567.0,2806.0,1583772.0,2212957.0,11107855.0,2531939.0,27568.0,41795.0,115688.0,14900.0,1062497.0,1502850.0,7036857.0,1582686.0,498105.0,677202.0,3974614.0,938987.0
6381.0,14078.0,25004.0,2301.0,2720.0,5967.0,10690.0,1013.0,1523.0,3217.0,6132.0,640.0,1533.0,3213.0,1914.0,180.0,770.0,1624.0,6911.0,404.0,14.0,12.0,290.0,178.0,19.0,22.0,434.0,324.0,191.0,107.0,3809.0,4030.0,1537122.0,2137760.0,10625962.0,2387643.0,40403.0,63257.0,172714.0,21680.0,1020279.0,1452929.0,6553679.0,1434039.0,483210.0,635736.0,3929739.0,938693.0
4641.0,9889.0,17785.0,1720.0,2002.0,4092.0,7685.0,726.0,1083.0,2327.0,4562.0,443.0,1146.0,2289.0,1335.0,139.0,546.0,1193.0,4968.0,307.0,10.0,13.0,200.0,125.0,15.0,10.0,332.0,256.0,152.0,73.0,2936.0,3050.0,1584973.0,2213367.0,11058836.0,2512108.0,30520.0,46246.0,131180.0,17181.0,1061432.0,1506449.0,6963627.0,1553400.0,497975.0,670669.0,3986037.0,946573.0
5702.0,12667.0,22363.0,2164.0,2532.0,5311.0,9567.0,943.0,1285.0,2943.0,5652.0,557.0,1386.0,2917.0,1637.0,197.0,667.0,1413.0,6338.0,415.0,13.0,13.0,230.0,187.0,19.0,17.0,410.0,291.0,175.0,98.0,3524.0,3697.0,1557119.0,2161914.0,10769821.0,2423484.0,37539.0,57684.0,159618.0,20503.0,1037768.0,1468878.0,6684279.0,1468606.0,487889.0,648064.0,3953272.0,940662.0
6171.0,13360.0,23671.0,2087.0,2637.0,5655.0,10123.0,945.0,1507.0,2985.0,5852.0,636.0,1470.0,3197.0,1854.0,202.0,733.0,1525.0,6573.0,397.0,16.0,8.0,260.0,168.0,29.0,19.0,460.0,331.0,206.0,93.0,3803.0,3989.0,1560408.0,2174694.0,10749391.0,2414121.0,39738.0,60678.0,168963.0,21494.0,1042627.0,1482938.0,6692506.0,1464816.0,484641.0,644560.0,3916837.0,934479.0
5647.0,12416.0,22246.0,2139.0,2400.0,5169.0,9683.0,892.0,1365.0,2794.0,5653.0,552.0,1353.0,2830.0,1672.0,151.0,658.0,1433.0,6120.0,405.0,16.0,12.0,221.0,154.0,14.0,19.0,387.0,272.0,194.0,106.0,3471.0,3834.0,1586539.0,2209607.0,10917456.0,2452577.0,37482.0,56381.0,161933.0,20426.0,1064794.0,1510694.0,6833847.0,1501711.0,490263.0,654895.0,3948873.0,936700.0
4542.0,10200.0,17915.0,1734.0,1992.0,4188.0,7618.0,715.0,1138.0,2294.0,4445.0,471.0,1152.0,2368.0,1360.0,144.0,520.0,1224.0,5103.0,305.0,10.0,5.0,174.0,140.0,22.0,12.0,306.0,240.0,158.0,86.0,2995.0,3254.0,1585694.0,2215936.0,11053601.0,2505913.0,31464.0,46959.0,133016.0,17427.0,1061934.0,1507302.0,6953667.0,1547254.0,497288.0,671852.0,3988909.0,946501.0
3459.0,7585.0,13466.0,1293.0,1464.0,3144.0,5953.0,573.0,858.0,1707.0,3391.0,343.0,909.0,1725.0,1000.0,99.0,395.0,886.0,3860.0,254.0,12.0,9.0,139.0,104.0,13.0,11.0,249.0,167.0,118.0,67.0,2333.0,2566.0,1613594.0,2270190.0,11309018.0,2581894.0,24669.0,35941.0,104214.0,13638.0,1092481.0,1551236.0,7267482.0,1640937.0,500213.0,690562.0,3954237.0,931425.0
4309.0,9571.0,17002.0,1564.0,1789.0,3834.0,7336.0,677.0,1079.0,2172.0,4270.0,472.0,1081.0,2185.0,1238.0,147.0,517.0,1136.0,4635.0,316.0,7.0,6.0,185.0,134.0,23.0,7.0,314.0,204.0,135.0,79.0,2879.0,3058.0,1590770.0,2224172.0,11077274.0,2519301.0,29856.0,44384.0,126358.0,16172.0,1068383.0,1515088.0,7011817.0,1570108.0,497162.0,674119.0,3959946.0,938029.0
7813.0,17779.0,30390.0,2880.0,3381.0,7513.0,13130.0,1256.0,1840.0,4011.0,7516.0,771.0,1794.0,3998.0,2232.0,247.0,888.0,1992.0,8423.0,474.0,23.0,15.0,330.0,243.0,34.0,27.0,502.0,355.0,208.0,137.0,4361.0,4519.0,1500816.0,2075558.0,10330637.0,2298286.0,47148.0,76052.0,202720.0,25321.0,985108.0,1400488.0,6241777.0,1344254.0,476728.0,616711.0,3922624.0,936576.0
4142.0,9280.0,16243.0,1516.0,1814.0,3783.0,7020.0,701.0,993.0,2181.0,4201.0,392.0,960.0,2088.0,1226.0,128.0,494.0,1035.0,4603.0,287.0,11.0,10.0,172.0,113.0,15.0,15.0,319.0,215.0,145.0,81.0,2760.0,2992.0,1591662.0,2223724.0,11121037.0,2535133.0,28485.0,42656.0,120969.0,15645.0,1067370.0,1512073.0,7035953.0,1579923.0,500239.0,678188.0,3984406.0,944393.0
4442.0,9927.0,17344.0,1597.0,1874.0,4176.0,7314.0,729.0,1064.0,2268.0,4380.0,423.0,1089.0,2217.0,1368.0,137.0,471.0,1089.0,4621.0,326.0,7.0,11.0,197.0,110.0,13.0,20.0,304.0,221.0,161.0,78.0,2886.0,3023.0,1580651.0,2211027.0,11048127.0,2516018.0,29607.0,44999.0,126352.0,16354.0,1056958.0,1501720.0,6952867.0,1556682.0,498765.0,674167.0,3989968.0,947951.0
5021.0,10976.0,19496.0,1856.0,2140.0,4475.0,8271.0,774.0,1221.0,2437.0,4800.0,483.0,1277.0,2476.0,1452.0,158.0,587.0,1272.0,5319.0,318.0,11.0,10.0,191.0,165.0,14.0,17.0,339.0,282.0,136.0,66.0,3037.0,3316.0,1561555.0,2176309.0,10897328.0,2472468.0,32866.0,49857.0,139942.0,17782.0,1039120.0,1474250.0,6787933.0,1507741.0,494955.0,662955.0,3992852.0,952441.0
4751.0,10681.0,18718.0,1794.0,2095.0,4482.0,8045.0,747.0,1157.0,2467.0,4756.0,527.0,1171.0,2460.0,1443.0,182.0,569.0,1233.0,5273.0,329.0,13.0,11.0,195.0,119.0,17.0,22.0,334.0,246.0,164.0,91.0,3139.0,3259.0,1592448.0,2224373.0,11048426.0,2500460.0,32700.0,48721.0,137238.0,17577.0,1070974.0,1519516.0,6985572.0,1554084.0,493960.0,666902.0,3948791.0,934208.0
3556.0,7707.0,14150.0,1284.0,1491.0,3301.0,5968.0,546.0,931.0,1784.0,3533.0,347.0,862.0,1779.0,1042.0,106.0,430.0,891.0,3867.0,223.0,5.0,7.0,156.0,90.0,15.0,13.0,242.0,190.0,135.0,53.0,2398.0,2653.0,1616662.0,2271500.0,11314927.0,2582159.0,25186.0,37126.0,107303.0,13969.0,1093742.0,1552667.0,7268210.0,1640407.0,501603.0,689535.0,3956610.0,931938.0
5384.0,11472.0,20463.0,1959.0,2244.0,4819.0,8843.0,814.0,1302.0,2731.0,5256.0,525.0,1216.0,2611.0,1584.0,151.0,628.0,1312.0,5754.0,381.0,5.0,12.0,197.0,154.0,20.0,12.0,404.0,286.0,188.0,84.0,3361.0,3606.0,1576688.0,2197259.0,10926914.0,2465095.0,35066.0,53073.0,150271.0,19013.0,1056540.0,1499324.0,6850190.0,1514073.0,490685.0,656443.0,3951842.0,937926.0
7317.0,16351.0,28586.0,2651.0,3068.0,6593.0,12088.0,1243.0,1861.0,3725.0,7177.0,730.0,1729.0,3753.0,2107.0,204.0,865.0,1768.0,7841.0,530.0,20.0,11.0,326.0,227.0,30.0,25.0,465.0,361.0,207.0,110.0,4287.0,4535.0,1532519.0,2124028.0,10503676.0,2336471.0,46084.0,72082.0,195138.0,24481.0,1016621.0,1444498.0,6440975.0,1390193.0,477594.0,623433.0,3901844.0,929627.0
8393.0,18921.0,33039.0,3024.0,3493.0,7858.0,14028.0,1287.0,1981.0,4410.0,8144.0,835.0,1965.0,4213.0,2387.0,223.0,945.0,2124.0,8888.0,562.0,18.0,21.0,355.0,228.0,34.0,23.0,605.0,411.0,243.0,141.0,4658.0,4793.0,1491327.0,2053370.0,10244998.0,2273780.0,50295.0,81680.0,216161.0,26567.0,978708.0,1385697.0,6174664.0,1322311.0,471003.0,604783.0,3893228.0,933241.0
3758.0,7979.0,14435.0,1292.0,1575.0,3426.0,6190.0,589.0,851.0,1877.0,3534.0,365.0,898.0,1867.0,1065.0,114.0,442.0,947.0,4034.0,263.0,7.0,7.0,130.0,110.0,15.0,5.0,260.0,180.0,137.0,71.0,2507.0,2638.0,1598711.0,2244662.0,11218056.0,2562070.0,25592.0,38107.0,108482.0,13964.0,1078471.0,1529928.0,7179052.0,1620532.0,498573.0,684827.0,3948232.0,931833.0
3169.0,6542.0,11955.0,1118.0,1340.0,2742.0,5126.0,511.0,728.0,1511.0,3025.0,314.0,800.0,1557.0,990.0,75.0,399.0,790.0,3293.0,227.0,6.0,5.0,98.0,97.0,16.0,11.0,221.0,174.0,109.0,47.0,2127.0,2284.0,1627461.0,2291521.0,11426212.0,2615620.0,22195.0,31769.0,93067.0,12337.0,1108611.0,1572473.0,7437214.0,1688019.0,500053.0,693942.0,3910801.0,918946.0
4593.0,10227.0,17912.0,1715.0,1954.0,4245.0,7662.0,713.0,1128.0,2336.0,4519.0,475.0,1115.0,2338.0,1355.0,147.0,561.0,1186.0,5047.0,322.0,9.0,10.0,180.0,125.0,18.0,16.0,339.0,228.0,139.0,94.0,3070.0,3342.0,1610297.0,2251498.0,11123140.0,2520818.0,31590.0,46675.0,134770.0,17358.0,1088762.0,1544596.0,7077509.0,1577904.0,494869.0,670452.0,3933023.0,930908.0
7389.0,17300.0,29600.0,2714.0,3161.0,6964.0,12651.0,1160.0,1825.0,3918.0,7308.0,777.0,1776.0,3798.0,2196.0,188.0,885.0,1865.0,7914.0,525.0,17.0,14.0,346.0,224.0,27.0,22.0,478.0,368.0,197.0,103.0,4449.0,4740.0,1523032.0,2104584.0,10448462.0,2325742.0,46966.0,74145.0,201646.0,25099.0,1005805.0,1429507.0,6353455.0,1368586.0,478149.0,617616.0,3928693.0,940039.0
8198.0,19275.0,32772.0,3012.0,3400.0,7919.0,13822.0,1326.0,1991.0,4351.0,7996.0,758.0,2008.0,4318.0,2537.0,238.0,964.0,2106.0,8969.0,568.0,19.0,15.0,331.0,252.0,29.0,22.0,568.0,420.0,211.0,136.0,4644.0,4717.0,1484218.0,2041472.0,10211264.0,2267726.0,49732.0,81465.0,212672.0,26086.0,971243.0,1372578.0,6129715.0,1313236.0,471865.0,606296.0,3907734.0,936683.0
3366.0,7396.0,13069.0,1305.0,1479.0,3050.0,5572.0,519.0,794.0,1705.0,3259.0,339.0,793.0,1750.0,1003.0,107.0,392.0,797.0,3661.0,236.0,7.0,6.0,124.0,97.0,17.0,16.0,222.0,187.0,106.0,63.0,2285.0,2523.0,1633579.0,2290697.0,11406290.0,2606312.0,24453.0,34882.0,102837.0,13545.0,1114179.0,1573557.0,7404012.0,1673521.0,498535.0,689645.0,3915557.0,923254.0
3640.0,7661.0,13734.0,1327.0,1585.0,3241.0,5956.0,592.0,886.0,1728.0,3625.0,324.0,916.0,1786.0,1142.0,114.0,454.0,907.0,3942.0,261.0,11.0,10.0,127.0,118.0,8.0,6.0,256.0,180.0,130.0,74.0,2392.0,2616.0,1608732.0,2252600.0,11251642.0,2571867.0,25516.0,36770.0,106820.0,13754.0,1085618.0,1535513.0,7201245.0,1626750.0,501588.0,688069.0,3961007.0,935568.0
3467.0,7383.0,13295.0,1253.0,1412.0,3059.0,5626.0,520.0,838.0,1769.0,3319.0,370.0,850.0,1700.0,966.0,100.0,399.0,898.0,3656.0,262.0,9.0,10.0,146.0,103.0,12.0,12.0,229.0,197.0,118.0,59.0,2357.0,2530.0,1613416.0,2265365.0,11319732.0,2586660.0,23735.0,35320.0,101649.0,13222.0,1095057.0,1550281.0,7307897.0,1652455.0,498262.0,687271.0,3926475.0,925065.0
7470.0,16940.0,29788.0,2811.0,3306.0,6958.0,12740.0,1224.0,1750.0,3893.0,7267.0,802.0,1854.0,3894.0,2274.0,221.0,918.0,1953.0,8101.0,517.0,19.0,16.0,298.0,196.0,30.0,20.0,520.0,395.0,232.0,117.0,4526.0,4755.0,1555670.0,2155600.0,10580726.0,2345827.0,48376.0,75045.0,205696.0,25877.0,1039592.0,1476017.0,6523476.0,1400228.0,475811.0,621389.0,3887270.0,927832.0
4650.0,9994.0,17935.0,1748.0,1909.0,4205.0,7644.0,732.0,1105.0,2296.0,4464.0,497.0,1132.0,2369.0,1324.0,138.0,503.0,1141.0,4982.0,325.0,7.0,4.0,201.0,128.0,21.0,9.0,310.0,242.0,160.0,93.0,2984.0,3198.0,1606150.0,2241135.0,11135505.0,2519749.0,31483.0,46611.0,133785.0,17399.0,1084898.0,1535763.0,7071607.0,1574678.0,494606.0,668878.0,3952012.0,932932.0
5608.0,12238.0,21993.0,2045.0,2463.0,5112.0,9398.0,858.0,1374.0,2808.0,5586.0,590.0,1313.0,2816.0,1611.0,183.0,702.0,1441.0,6012.0,380.0,14.0,11.0,224.0,185.0,19.0,31.0,391.0,273.0,185.0,89.0,3628.0,3857.0,1587277.0,2212340.0,10911640.0,2449074.0,37459.0,57282.0,160472.0,20536.0,1070267.0,1518036.0,6873752.0,1509001.0,485621.0,649330.0,3904256.0,925863.0
3819.0,8224.0,14262.0,1370.0,1595.0,3431.0,6142.0,576.0,902.0,1885.0,3805.0,363.0,962.0,1919.0,1056.0,110.0,457.0,995.0,4016.0,284.0,8.0,1.0,158.0,113.0,12.0,10.0,269.0,222.0,166.0,52.0,2475.0,2666.0,1604331.0,2245092.0,11232120.0,2562296.0,26213.0,38356.0,110527.0,14509.0,1084218.0,1533591.0,7195011.0,1620930.0,498002.0,681438.0,3944493.0,931191.0
4672.0,9968.0,17847.0,1608.0,1919.0,4233.0,7545.0,704.0,1054.0,2239.0,4469.0,437.0,1110.0,2344.0,1292.0,136.0,590.0,1139.0,5028.0,330.0,12.0,5.0,198.0,118.0,9.0,20.0,346.0,240.0,152.0,71.0,2925.0,3257.0,1592325.0,2227425.0,11068559.0,2509035.0,30788.0,46280.0,131491.0,16715.0,1071639.0,1523193.0,7012313.0,1563960.0,494744.0,668003.0,3946548.0,933582.0
3845.0,8296.0,14880.0,1422.0,1609.0,3400.0,6390.0,608.0,956.0,1963.0,3681.0,404.0,911.0,1967.0,1075.0,115.0,509.0,942.0,4178.0,284.0,12.0,6.0,151.0,110.0,23.0,7.0,265.0,171.0,137.0,77.0,2659.0,2853.0,1632346.0,2293464.0,11320671.0,2573051.0,27197.0,39413.0,115526.0,15030.0,1118835.0,1583849.0,7372731.0,1656911.0,490471.0,678564.0,3850803.0,905655.0
4679.0,9973.0,17859.0,1735.0,1988.0,4227.0,7617.0,733.0,1117.0,2302.0,4539.0,430.0,1150.0,2283.0,1309.0,124.0,602.0,1151.0,5004.0,296.0,11.0,9.0,200.0,129.0,13.0,14.0,317.0,259.0,157.0,83.0,3034.0,3385.0,1619485.0,2264171.0,11159330.0,2522803.0,32187.0,47625.0,136608.0,17833.0,1100674.0,1559044.0,7150519.0,1589468.0,491662.0,667571.0,3894213.0,920858.0
5798.0,12529.0,22726.0,2134.0,2376.0,5114.0,9733.0,893.0,1404.0,2953.0,5755.0,588.0,1480.0,2815.0,1757.0,218.0,724.0,1407.0,6376.0,374.0,12.0,11.0,230.0,183.0,17.0,18.0,408.0,286.0,171.0,111.0,3802.0,3917.0,1599581.0,2229473.0,10942030.0,2455767.0,38764.0,58060.0,166638.0,21050.0,1079167.0,1533419.0,6888813.0,1511456.0,487834.0,650423.0,3914630.0,929720.0
8134.0,19456.0,32200.0,3139.0,3470.0,7887.0,13733.0,1245.0,1898.0,4332.0,7874.0,808.0,2012.0,4425.0,2349.0,228.0,901.0,2046.0,8697.0,562.0,19.0,15.0,328.0,240.0,32.0,21.0,557.0,401.0,220.0,128.0,4370.0,4495.0,1438431.0,1978409.0,10031348.0,2243044.0,48177.0,79926.0,205753.0,25004.0,926652.0,1315374.0,5918095.0,1275784.0,472154.0,601963.0,3945398.0,950235.0
5332.0,11320.0,20561.0,1959.0,2258.0,4617.0,8816.0,841.0,1221.0,2570.0,5135.0,552.0,1255.0,2607.0,1549.0,181.0,591.0,1293.0,5848.0,374.0,18.0,17.0,222.0,156.0,27.0,15.0,369.0,246.0,167.0,80.0,3400.0,3701.0,1584615.0,2207963.0,10949107.0,2465951.0,35320.0,52068.0,150378.0,19312.0,1064344.0,1508738.0,6887565.0,1519573.0,490488.0,658356.0,3936493.0,933117.0
3745.0,7767.0,14215.0,1309.0,1586.0,3261.0,6116.0,584.0,897.0,1835.0,3584.0,368.0,948.0,1751.0,1003.0,107.0,400.0,952.0,3867.0,248.0,6.0,3.0,139.0,99.0,10.0,11.0,236.0,203.0,122.0,66.0,2445.0,2641.0,1611974.0,2262481.0,11271382.0,2573584.0,25592.0,37216.0,107292.0,14141.0,1090990.0,1546876.0,7252283.0,1637046.0,499361.0,686268.0,3929187.0,926647.0
4343.0,9570.0,17064.0,1669.0,1939.0,4101.0,7232.0,682.0,989.0,2183.0,4227.0,498.0,1067.0,2262.0,1349.0,139.0,506.0,1063.0,4753.0,285.0,10.0,8.0,201.0,148.0,16.0,7.0,307.0,233.0,154.0,60.0,2864.0,3038.0,1600013.0,2235440.0,11120019.0,2523095.0,30267.0,44782.0,127697.0,16310.0,1077564.0,1529199.0,7063441.0,1577299.0,496863.0,671143.0,3949804.0,934509.0
