reg;ss_children;ss_adoles;ss_adults;ss_seniors;beta;alpha_LD;delay;lag;suscep-wuhan;suscep-VOC;SI;adu-sen-adj-factor;infectious-period;compartment-W;population;seasonality;loglikelihood;matrices;calibration-target
France;0.0;0.2;3.2;21.6;0.0819999999999999;1.29;1.0;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.0;0.2;3.3000000000000003;22.5;0.0819999999999999;1.28;1.0;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.0;0.3;3.5000000000000004;23.5;0.083;1.28;1.0;40;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.0;0.3;3.3000000000000003;22.3;0.083;1.29;1.0;40;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.14;0.14;3.12;25.05;0.083;1.27;1.0;40;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.12;0.12;2.6;20.88000000000001;0.084;1.25;1.0;40;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.1;0.1;2.23;17.89;0.083;1.32;1.0;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.1;0.1;2.31;18.56;0.083;1.31;1.0;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.1;0.1;2.31;18.56;0.083;1.36;0.0;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.11;0.11;2.4;19.27;0.083;1.28;1.0;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.11;0.11;2.4;19.27;0.083;1.36;0.0;41;[0.5  0.5  1.   1.  ];[0.5  0.5  1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.11;0.11;2.4;19.27;0.077;1.32;1.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.32;1.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.078;1.33;1.0;43;[0.5 0.7 1.  1. ];[0.5 0.7 1.  1. ];50.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.21;1.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];30.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.16;1.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];20.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.05;1.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];0.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.1;1.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];10.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.27;1.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];40.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.12;0.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];0.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.27;0.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];30.0;;2.3;no;old;no;;;
France;0.31;0.12;2.26;19.78;0.077;1.17;0.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];10.0;;2.3;no;old;no;;;
France;0.4;0.16;2.94;25.71;0.077;1.2;1.0;42;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];30.0;;2.3;no;old;no;;;
France;0.4;0.16;2.94;25.71;0.077;1.3;1.0;42;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];50.0;;2.3;no;old;no;;;
France;0.3;0.12;2.18;19.040000000000006;0.074;1.28;1.0;46;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];30.0;;2.3;no;old;no;;;
France;0.29;0.11;2.1;18.360000000000007;0.074;1.24;1.0;46;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];30.0;;2.3;no;old;no;;;
France;0.4;0.16;2.94;25.71;0.077;1.12;0.0;42;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];0.0;1.0;2.3;no;old;no;;;
France;0.4;0.16;1.96;17.14;0.078;1.08;0.0;43;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];0.0;1.5;2.3;no;old;no;;;
France;0.4;0.16;1.84;16.07;0.076;1.12;0.0;45;[0.5  0.75 1.   1.  ];[0.5  0.75 1.   1.  ];0.0;1.6;2.3;no;old;no;;;
France;0.4;0.16;1.84;16.07;0.0819999999999999;1.07;0.0;43;[0.5 0.5 1.  1. ];[0.5 0.5 1.  1. ];0.0;1.6;2.3;no;old;no;;;
France;0.4;0.16;1.84;16.07;0.0819999999999999;1.06;0.0;42;[0.5 0.6 1.  1. ];[0.5 0.6 1.  1. ];0.0;1.6;2.3;no;old;no;;;
France;0.4;0.16;1.84;16.07;0.078;1.11;0.0;44;[0.5 0.7 1.  1. ];[0.5 0.7 1.  1. ];0.0;1.6;2.3;no;old;no;;;
France;0.4;0.16;1.84;16.07;0.0819999999999999;1.18;0.0;44;[0.5 0.7 1.  1. ];[0.5 0.7 1.  1. ];0.0;1.6;2.0;no;old;no;;;
France;0.4;0.16;1.84;16.07;0.085;1.06;-1.0;45;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0.0;1.6;2.0;3.0;new;no;;;
France;0.4;0.16;1.84;16.07;0.085;1.12;-2.0;45;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0.0;1.6;2.0;3.0;new;no;;;
France;0.4;0.16;1.84;16.07;0.065;1.36;0.0;48;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0.0;1.6;2.0;3.0;new;no;;;
France;0.4;0.16;1.84;16.07;0.083;1.12;-2.0;46;[0.7 0.7 1.  1. ];[0.7 0.7 1.  1. ];0.0;1.6;2.0;3.0;new;no;;;
France;0.4;0.16;1.84;16.07;0.068;1.2600000000000002;-2.0;44;[0.7 0.7 1.  1. ];[0.7 0.7 1.  1. ];0.0;1.6;2.0;3.0;new;yes;;;
France;0.4;0.16;1.84;16.07;0.083;1.16;-2.0;47;[0.6 0.6 1.  1. ];[0.6 0.6 1.  1. ];0.0;1.6;2.0;3.0;new;no;;;
France;0.4;0.16;1.84;16.07;0.086;1.16;-3.0;44;[0.5 0.7 1.  1. ];[0.5 0.7 1.  1. ];0.0;1.6;2.0;3.0;new;no;;;
France;0.4;0.16;1.84;16.07;0.086;1.16;-3.0;44;[0.5 0.7 1.  1. ];[1.0 1.0 1.  1. ];0.0;1.6;2.0;3.0;new;no;;;
France;0.4;0.16;1.84;16.07;0.086;1.1;-2.0;45;[0.7 0.5 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1556.9260880247366;;
France;0.4;0.16;1.84;16.07;0.088;1.12;-2.0;44;[0.7 0.5 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1517.0364722109198;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome;
France;0.4;0.16;1.84;16.07;0.088;0.26;-2.0;44;[0.7 0.5 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1486.4487709589166;only-baseline-revised;
France;0.4;0.16;1.84;16.07;0.088;1.1;-2.0;44;[0.7 0.5 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1590.592337013128;FR_SocialCov;
France;0.4;0.16;1.84;16.07;0.088;1.3;-2.0;44;[0.7 0.5 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1560.8969863601487;home-matrix;
France;0.4;0.16;1.84;16.07;0.088;1.08;-2.0;44;[0.7 0.5 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1507.3220177477565;synthetic_matrices_revised_baseline&eq_physical_mobility;
France;0.4;0.16;1.84;16.07;0.086;1.18;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1557.8139251770428;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome;
France;0.4;0.16;1.84;16.07;0.086;1.08;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1551.1069079233814;FR_SocialCov;
France;0.4;0.16;1.84;16.07;0.086;0.26;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1522.5216057854907;only-baseline-revised;
France;0.4;0.16;1.84;16.07;0.085;1.02;-2.0;49;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1638.6757750625115;FR_SocialCov_sensitivity_M6;
France;0.4;0.16;1.84;16.07;0.086;1.18;-3.0;45;[0.7 0.7 1.  1. ];[0.7, 0.7, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1557.8139251770428;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome;
France;0.4;0.16;1.84;16.07;0.086;1.08;-2.0;45;[0.7 0.7 1.  1. ];[0.7, 0.7, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1551.1069079233814;FR_SocialCov;
France;0.4;0.16;1.84;16.07;0.086;0.26;-2.0;45;[0.7 0.7 1.  1. ];[0.7, 0.7, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1522.5216057854907;only-baseline-revised;
France;0.4;0.16;1.84;16.07;0.086;0.88;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1550.5206349703817;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_allphyscon(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;1.08;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3785.011991718491;FR_SocialCov;age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;1.18;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3063.7433896239963;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome;age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;0.26;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-2842.192715365666;only-baseline-revised;age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;1.14;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1597.1233495418614;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_homogeneous_structure(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;1.1;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-2943.3289383470124;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_homogeneous_structure(REBUTTAL);age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;0.28;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1507.8393905263774;random-mixing;
France;0.4;0.16;1.84;16.07;0.086;1.08;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1485.2331500820924;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;0.84;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1568.7790312051643;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_x3(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;1.16;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1452.8133544360778;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_random_mixing(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;0.66;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1542.5061416014012;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_x4(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;0.78;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-13036.018631235118;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_x3(REBUTTAL);age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;1.2;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1459.024675913401;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_less_assortative(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;1.22;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3616.997867670226;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_less_assortative(REBUTTAL);age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;1.16;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3761.55878763225;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_random_mixing(REBUTTAL);age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;0.86;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-2882.333482977951;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhomeincrhome_allphyscont(REBUTTAL);age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;0.76;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1549.8862845527613;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_x3_adusen(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;0.7;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-13912.009568751251;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_x3_adusen(REBUTTAL);age-stratified-fit
France;0.4;0.16;1.84;16.07;0.086;0.96;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1560.5717687647154;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_same_assort(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;0.6;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-1599.3470216541746;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_adu05_senx3(REBUTTAL);
France;0.4;0.16;1.84;16.07;0.086;1.18;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3072.530635922537;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome;age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;1.08;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3774.0184221599;FR_SocialCov;age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;0.26;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-2894.451403036922;only-baseline-revised;age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;1.0;-2.0;48;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-4313.10885351826;FR_SocialCov_sensitivity_M6;age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;0.68;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-13813.160848488633;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_change_contacts_per_row_x3_adusen(REBUTTAL);age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;1.14;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-4088.167449531836;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_homog_random_mixing(REBUTTAL);age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;1.18;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3960.66407914179;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_less_assortative(REBUTTAL);age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;0.84;-2.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-2851.913841345341;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhomeincrhome_allphyscont(REBUTTAL);age-stratified-fit-serology
France;0.4;0.16;1.8399999999999999;16.07;0.086;1.18;-3.0;45;[0.7 0.7 1.  1. ];[1.0, 1.0, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3193.136350338387;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome_true_random_mixing(REBUTTAL);age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;1.18;-3.0;45;[0.7 0.7 1.  1. ];[0.7, 0.7, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3072.530635922537;synthetic_matrices_revised_baseline&eq_physical_mobility_incrhome;age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;1.08;-2.0;45;[0.7 0.7 1.  1. ];[0.7, 0.7, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-3774.0184221599;FR_SocialCov;age-stratified-fit-serology
France;0.4;0.16;1.84;16.07;0.086;0.26;-2.0;45;[0.7 0.7 1.  1. ];[0.7, 0.7, 1.0, 1.0];0.0;1.6;2.0;3.0;new;no;-2894.451403036922;only-baseline-revised;age-stratified-fit-serology
