sen-median,sen-p1,sen-p2,time,date,hosp_pred
10.0,3.0,19.0,2020-02-23,2020-02-23,
11.5,4.0,22.0,2020-02-24,2020-02-24,
14.0,5.95,26.0,2020-02-25,2020-02-25,
18.0,7.0,31.52499999999999,2020-02-26,2020-02-26,
21.0,7.475,38.0,2020-02-27,2020-02-27,
25.0,13.0,42.0,2020-02-28,2020-02-28,
30.0,13.425,56.57499999999997,2020-02-29,2020-02-29,
36.5,16.475,61.04999999999998,2020-03-01,2020-03-01,16.0
41.0,15.0,75.19999999999993,2020-03-02,2020-03-02,43.0
49.5,28.475,87.04999999999998,2020-03-03,2020-03-03,35.0
61.5,28.425,102.09999999999997,2020-03-04,2020-03-04,55.0
75.5,37.0,129.575,2020-03-05,2020-03-05,65.0
91.5,44.475,146.19999999999993,2020-03-06,2020-03-06,90.0
107.0,54.475,182.0,2020-03-07,2020-03-07,67.0
126.0,62.475,207.67499999999995,2020-03-08,2020-03-08,69.0
151.0,80.95,244.15,2020-03-09,2020-03-09,139.0
181.0,106.475,322.0,2020-03-10,2020-03-10,161.0
211.5,114.425,360.57499999999993,2020-03-11,2020-03-11,186.0
255.5,135.325,423.49999999999983,2020-03-12,2020-03-12,222.0
309.5,162.95,495.05,2020-03-13,2020-03-13,270.0
372.0,215.95,600.0749999999998,2020-03-14,2020-03-14,375.0
438.5,244.65,739.8249999999998,2020-03-15,2020-03-15,412.0
528.0,294.85,865.1999999999992,2020-03-16,2020-03-16,625.0
639.5,351.375,1051.15,2020-03-17,2020-03-17,673.0
760.5,414.125,1225.225,2020-03-18,2020-03-18,875.0
897.0,495.45,1462.3999999999996,2020-03-19,2020-03-19,882.0
1068.0,597.9,1770.4499999999994,2020-03-20,2020-03-20,1137.0
1278.5,713.8,2058.2249999999985,2020-03-21,2020-03-21,939.0
1513.0,855.5,2482.675,2020-03-22,2020-03-22,985.0
1750.0,985.75,2750.825,2020-03-23,2020-03-23,1569.0
1859.0,1071.4499999999998,3023.4749999999995,2020-03-24,2020-03-24,1582.0
1944.0,1129.225,3102.45,2020-03-25,2020-03-25,1745.0
1965.0,1144.8,3160.9749999999985,2020-03-26,2020-03-26,1821.0
1984.5,1129.85,3087.4749999999985,2020-03-27,2020-03-27,2013.0
1944.0,1129.475,3108.025,2020-03-28,2020-03-28,1552.0
1914.5,1097.9,3084.95,2020-03-29,2020-03-29,1340.0
1862.5,1066.15,3015.2249999999995,2020-03-30,2020-03-30,1893.0
1835.5,1063.925,2944.175,2020-03-31,2020-03-31,1761.0
1784.5,1037.975,2763.499999999999,2020-04-01,2020-04-01,1790.0
1718.0,979.65,2666.1000000000004,2020-04-02,2020-04-02,1668.0
1651.5,939.325,2553.474999999999,2020-04-03,2020-04-03,1687.0
1547.0,861.5,2512.6249999999995,2020-04-04,2020-04-04,1290.0
1505.0,890.075,2326.525,2020-04-05,2020-04-05,899.0
1408.0,877.75,2271.1749999999997,2020-04-06,2020-04-06,1467.0
1356.5,781.925,2146.425,2020-04-07,2020-04-07,1412.0
1299.5,772.35,2108.825,2020-04-08,2020-04-08,1361.0
1241.0,735.175,1954.2,2020-04-09,2020-04-09,1355.0
1147.0,716.8,1853.5499999999995,2020-04-10,2020-04-10,1355.0
1117.0,657.8,1757.9249999999995,2020-04-11,2020-04-11,961.0
1071.0,631.85,1651.4999999999995,2020-04-12,2020-04-12,768.0
1019.5,593.1500000000001,1566.1249999999998,2020-04-13,2020-04-13,740.0
943.5,575.9000000000001,1442.0499999999995,2020-04-14,2020-04-14,1053.0
912.0,563.4749999999999,1374.5499999999995,2020-04-15,2020-04-15,983.0
856.5,515.175,1322.1249999999995,2020-04-16,2020-04-16,1012.0
829.5,514.0,1197.35,2020-04-17,2020-04-17,961.0
772.0,460.5,1181.5249999999996,2020-04-18,2020-04-18,626.0
742.0,462.175,1074.0,2020-04-19,2020-04-19,494.0
692.0,415.275,1020.675,2020-04-20,2020-04-20,789.0
660.0,411.475,977.5749999999996,2020-04-21,2020-04-21,758.0
648.5,389.0,909.2,2020-04-22,2020-04-22,708.0
590.0,361.475,846.7749999999999,2020-04-23,2020-04-23,689.0
561.5,345.0,818.0249999999999,2020-04-24,2020-04-24,628.0
531.0,322.0,755.05,2020-04-25,2020-04-25,365.0
504.5,298.95,727.4999999999998,2020-04-26,2020-04-26,294.0
467.0,293.425,681.0999999999999,2020-04-27,2020-04-27,534.0
462.0,269.55,669.3499999999999,2020-04-28,2020-04-28,509.0
420.0,261.0,618.9999999999997,2020-04-29,2020-04-29,447.0
400.5,243.95,550.525,2020-04-30,2020-04-30,471.0
377.5,235.95,533.625,2020-05-01,2020-05-01,288.0
353.0,220.375,501.1,2020-05-02,2020-05-02,273.0
340.5,213.0,481.7249999999999,2020-05-03,2020-05-03,218.0
316.0,199.95,448.1,2020-05-04,2020-05-04,333.0
296.5,184.75,435.4499999999998,2020-05-05,2020-05-05,358.0
286.0,186.95,408.9749999999998,2020-05-06,2020-05-06,315.0
268.0,163.0,395.1,2020-05-07,2020-05-07,328.0
254.5,162.9,350.67499999999995,2020-05-08,2020-05-08,179.0
247.5,154.8,334.67499999999995,2020-05-09,2020-05-09,207.0
235.5,135.95,315.19999999999993,2020-05-10,2020-05-10,168.0
218.5,136.85000000000002,296.04999999999995,2020-05-11,2020-05-11,246.0
206.5,128.64999999999998,292.04999999999995,2020-05-12,2020-05-12,250.0
191.0,128.475,267.57499999999993,2020-05-13,2020-05-13,214.0
184.0,113.95,254.05,2020-05-14,2020-05-14,224.0
176.0,105.475,236.19999999999996,2020-05-15,2020-05-15,217.0
166.0,104.075,215.0,2020-05-16,2020-05-16,115.0
157.5,93.95,203.525,2020-05-17,2020-05-17,115.0
148.5,94.475,200.575,2020-05-18,2020-05-18,198.0
141.0,92.475,189.05,2020-05-19,2020-05-19,178.0
129.0,84.95,175.575,2020-05-20,2020-05-20,184.0
121.0,69.375,167.09999999999997,2020-05-21,2020-05-21,115.0
118.0,77.425,151.52499999999998,2020-05-22,2020-05-22,170.0
111.0,72.425,147.0,2020-05-23,2020-05-23,104.0
106.0,64.375,145.77499999999992,2020-05-24,2020-05-24,68.0
102.5,59.475,128.0,2020-05-25,2020-05-25,122.0
97.5,59.475,129.04999999999998,2020-05-26,2020-05-26,137.0
91.5,59.475,122.525,2020-05-27,2020-05-27,108.0
85.5,54.325,116.04999999999998,2020-05-28,2020-05-28,105.0
84.5,53.475,112.09999999999997,2020-05-29,2020-05-29,94.0
79.5,50.85,109.525,2020-05-30,2020-05-30,57.0
76.0,52.0,99.04999999999998,2020-05-31,2020-05-31,56.0
72.5,46.0,97.57499999999996,2020-06-01,2020-06-01,47.0
70.5,41.0,97.525,2020-06-02,2020-06-02,87.0
66.0,44.0,88.0,2020-06-03,2020-06-03,80.0
64.0,34.475,91.04999999999998,2020-06-04,2020-06-04,78.0
62.5,39.425,82.09999999999997,2020-06-05,2020-06-05,57.0
59.0,41.0,79.52499999999999,2020-06-06,2020-06-06,53.0
58.0,35.474999999999994,74.52499999999999,2020-06-07,2020-06-07,31.0
58.0,32.0,72.57499999999997,2020-06-08,2020-06-08,50.0
52.5,32.375,75.0,2020-06-09,2020-06-09,55.0
52.0,30.9,68.04999999999998,2020-06-10,2020-06-10,69.0
51.0,32.475,67.52499999999999,2020-06-11,2020-06-11,54.0
48.5,32.475,65.04999999999998,2020-06-12,2020-06-12,46.0
47.0,31.950000000000003,62.0,2020-06-13,2020-06-13,24.0
47.0,29.0,63.52499999999999,2020-06-14,2020-06-14,35.0
43.5,28.475,59.04999999999998,2020-06-15,2020-06-15,45.0
42.5,25.425,56.52499999999999,2020-06-16,2020-06-16,45.0
42.0,24.9,57.04999999999998,2020-06-17,2020-06-17,42.0
40.0,22.325,54.04999999999998,2020-06-18,2020-06-18,49.0
40.5,27.95,53.57499999999997,2020-06-19,2020-06-19,53.0
39.0,26.475,54.52499999999999,2020-06-20,2020-06-20,33.0
40.0,24.475,51.0,2020-06-21,2020-06-21,24.0
38.0,20.425,53.0,2020-06-22,2020-06-22,31.0
36.0,24.0,51.0,2020-06-23,2020-06-23,41.0
35.0,20.475,50.04999999999998,2020-06-24,2020-06-24,31.0
35.0,22.0,46.52499999999999,2020-06-25,2020-06-25,41.0
34.0,22.95,44.52499999999999,2020-06-26,2020-06-26,38.0
34.0,22.475,44.52499999999999,2020-06-27,2020-06-27,23.0
34.0,22.0,47.0,2020-06-28,2020-06-28,22.0
32.5,22.0,43.52499999999999,2020-06-29,2020-06-29,22.0
32.0,20.475,43.52499999999999,2020-06-30,2020-06-30,33.0
31.5,21.475,42.04999999999998,2020-07-01,2020-07-01,37.0
31.0,17.950000000000003,42.52499999999999,2020-07-02,2020-07-02,23.0
31.5,21.475,41.0,2020-07-03,2020-07-03,33.0
31.0,19.0,44.52499999999999,2020-07-04,2020-07-04,24.0
29.5,17.475,41.52499999999999,2020-07-05,2020-07-05,17.0
30.0,18.0,43.04999999999998,2020-07-06,2020-07-06,30.0
29.0,16.475,40.0,2020-07-07,2020-07-07,24.0
29.0,17.475,39.04999999999998,2020-07-08,2020-07-08,28.0
28.0,19.0,39.0,2020-07-09,2020-07-09,38.0
29.0,17.0,37.52499999999999,2020-07-10,2020-07-10,39.0
29.5,18.0,40.52499999999999,2020-07-11,2020-07-11,19.0
28.0,20.0,41.04999999999998,2020-07-12,2020-07-12,23.0
30.0,17.475,37.52499999999999,2020-07-13,2020-07-13,47.0
32.0,22.0,40.0,2020-07-14,2020-07-14,29.0
32.0,21.950000000000003,43.04999999999998,2020-07-15,2020-07-15,45.0
32.5,20.0,49.52499999999999,2020-07-16,2020-07-16,61.0
34.0,21.950000000000003,46.52499999999999,2020-07-17,2020-07-17,41.0
35.0,23.475,46.0,2020-07-18,2020-07-18,23.0
37.0,21.475,50.52499999999999,2020-07-19,2020-07-19,26.0
37.0,26.0,51.52499999999999,2020-07-20,2020-07-20,38.0
39.5,28.0,52.0,2020-07-21,2020-07-21,43.0
40.5,24.9,52.04999999999998,2020-07-22,2020-07-22,35.0
40.0,26.425,54.04999999999998,2020-07-23,2020-07-23,31.0
42.0,27.0,56.0,2020-07-24,2020-07-24,34.0
43.0,30.475,55.52499999999999,2020-07-25,2020-07-25,35.0
45.0,30.425,60.0,2020-07-26,2020-07-26,33.0
45.0,33.0,61.04999999999998,2020-07-27,2020-07-27,38.0
47.0,35.0,60.52499999999999,2020-07-28,2020-07-28,44.0
50.0,36.475,62.52499999999999,2020-07-29,2020-07-29,42.0
52.0,37.475,68.04999999999998,2020-07-30,2020-07-30,39.0
55.0,37.0,68.52499999999999,2020-07-31,2020-07-31,47.0
56.0,37.425,71.52499999999999,2020-08-01,2020-08-01,30.0
58.0,43.0,71.52499999999999,2020-08-02,2020-08-02,31.0
57.0,41.85,77.52499999999999,2020-08-03,2020-08-03,46.0
60.5,42.475,79.04999999999998,2020-08-04,2020-08-04,70.0
61.5,42.425,80.57499999999997,2020-08-05,2020-08-05,53.0
66.0,46.95,83.52499999999999,2020-08-06,2020-08-06,48.0
66.0,43.95,82.0,2020-08-07,2020-08-07,60.0
69.5,51.0,89.52499999999999,2020-08-08,2020-08-08,42.0
71.0,52.475,92.0,2020-08-09,2020-08-09,47.0
74.0,50.475,93.525,2020-08-10,2020-08-10,56.0
78.0,54.0,94.0,2020-08-11,2020-08-11,78.0
75.0,50.475,100.0,2020-08-12,2020-08-12,78.0
80.0,60.475,104.0,2020-08-13,2020-08-13,70.0
82.0,56.475,109.04999999999998,2020-08-14,2020-08-14,60.0
83.0,56.475,105.57499999999996,2020-08-15,2020-08-15,55.0
83.0,57.0,112.09999999999997,2020-08-16,2020-08-16,53.0
88.5,63.0,108.0,2020-08-17,2020-08-17,59.0
91.0,62.375,112.525,2020-08-18,2020-08-18,62.0
90.0,64.95,120.525,2020-08-19,2020-08-19,76.0
93.0,64.475,121.14999999999996,2020-08-20,2020-08-20,78.0
97.5,68.475,121.09999999999997,2020-08-21,2020-08-21,66.0
99.0,65.95,124.525,2020-08-22,2020-08-22,52.0
99.0,69.95,124.19999999999992,2020-08-23,2020-08-23,50.0
103.5,71.475,131.52499999999998,2020-08-24,2020-08-24,87.0
107.0,69.0,131.575,2020-08-25,2020-08-25,73.0
111.5,69.95,138.04999999999998,2020-08-26,2020-08-26,88.0
111.0,72.0,143.09999999999997,2020-08-27,2020-08-27,100.0
112.0,70.475,141.14999999999995,2020-08-28,2020-08-28,100.0
116.0,75.95,145.52499999999998,2020-08-29,2020-08-29,74.0
121.0,80.0,150.52499999999998,2020-08-30,2020-08-30,73.0
123.5,81.0,157.52499999999998,2020-08-31,2020-08-31,109.0
123.5,83.475,156.04999999999998,2020-09-01,2020-09-01,134.0
130.5,88.475,170.67499999999995,2020-09-02,2020-09-02,123.0
137.5,86.375,168.0,2020-09-03,2020-09-03,138.0
140.5,86.95,171.52499999999998,2020-09-04,2020-09-04,154.0
149.5,95.425,192.1,2020-09-05,2020-09-05,128.0
164.0,104.475,203.05,2020-09-06,2020-09-06,116.0
179.5,112.375,225.1,2020-09-07,2020-09-07,208.0
202.5,122.8,249.05,2020-09-08,2020-09-08,203.0
219.5,132.475,276.19999999999993,2020-09-09,2020-09-09,163.0
248.0,157.95,306.525,2020-09-10,2020-09-10,213.0
263.0,161.7,326.525,2020-09-11,2020-09-11,250.0
283.0,173.0,352.04999999999995,2020-09-12,2020-09-12,194.0
292.0,170.95,363.05,2020-09-13,2020-09-13,152.0
297.5,185.85,378.525,2020-09-14,2020-09-14,242.0
308.5,180.7,391.1,2020-09-15,2020-09-15,266.0
309.5,177.89999999999998,393.0249999999999,2020-09-16,2020-09-16,291.0
313.0,190.7,391.05,2020-09-17,2020-09-17,280.0
317.5,181.9,403.57499999999993,2020-09-18,2020-09-18,356.0
314.0,190.65,412.7749999999999,2020-09-19,2020-09-19,206.0
318.5,179.375,415.05,2020-09-20,2020-09-20,257.0
330.5,189.9,405.05,2020-09-21,2020-09-21,317.0
334.5,183.025,409.0,2020-09-22,2020-09-22,311.0
329.0,185.8,416.05,2020-09-23,2020-09-23,306.0
330.5,198.375,433.1249999999998,2020-09-24,2020-09-24,346.0
346.0,193.6,442.525,2020-09-25,2020-09-25,335.0
345.5,186.875,445.2999999999999,2020-09-26,2020-09-26,226.0
338.5,196.425,441.575,2020-09-27,2020-09-27,198.0
349.0,186.375,461.3999999999999,2020-09-28,2020-09-28,384.0
345.5,187.275,458.625,2020-09-29,2020-09-29,353.0
365.0,191.475,477.575,2020-09-30,2020-09-30,375.0
362.5,187.45,477.1,2020-10-01,2020-10-01,359.0
375.0,208.35,497.675,2020-10-02,2020-10-02,406.0
386.0,189.8,496.57499999999993,2020-10-03,2020-10-03,355.0
391.5,189.55,499.0,2020-10-04,2020-10-04,266.0
392.5,203.25,521.525,2020-10-05,2020-10-05,398.0
404.0,194.75,526.525,2020-10-06,2020-10-06,495.0
401.0,216.85,540.1249999999998,2020-10-07,2020-10-07,461.0
421.0,212.8,556.625,2020-10-08,2020-10-08,488.0
431.0,217.0,556.05,2020-10-09,2020-10-09,543.0
454.5,224.75,600.0,2020-10-10,2020-10-10,466.0
463.5,232.75,629.3499999999999,2020-10-11,2020-10-11,383.0
496.0,260.275,680.05,2020-10-12,2020-10-12,687.0
539.0,272.75,723.0999999999999,2020-10-13,2020-10-13,725.0
575.0,297.975,775.7749999999999,2020-10-14,2020-10-14,763.0
614.5,314.32500000000005,850.575,2020-10-15,2020-10-15,744.0
657.0,329.6,892.0,2020-10-16,2020-10-16,889.0
710.5,345.8,970.5499999999998,2020-10-17,2020-10-17,770.0
755.0,369.9,1016.25,2020-10-18,2020-10-18,662.0
798.5,411.925,1099.25,2020-10-19,2020-10-19,996.0
882.0,415.325,1200.6749999999995,2020-10-20,2020-10-20,1140.0
939.5,475.5,1258.25,2020-10-21,2020-10-21,1118.0
993.0,451.025,1343.25,2020-10-22,2020-10-22,1239.0
1068.0,521.05,1478.0749999999998,2020-10-23,2020-10-23,1299.0
1139.0,512.75,1571.775,2020-10-24,2020-10-24,1056.0
1192.5,560.75,1642.4749999999997,2020-10-25,2020-10-25,968.0
1251.0,612.45,1736.5749999999998,2020-10-26,2020-10-26,1514.0
1292.0,611.2,1872.55,2020-10-27,2020-10-27,1556.0
1370.5,627.6500000000001,1929.05,2020-10-28,2020-10-28,1587.0
1406.5,675.4749999999999,2022.575,2020-10-29,2020-10-29,1582.0
1512.5,725.075,2119.4,2020-10-30,2020-10-30,1648.0
1547.0,713.45,2196.525,2020-10-31,2020-10-31,1360.0
1622.5,729.8,2260.925,2020-11-01,2020-11-01,1281.0
1647.0,741.8499999999999,2327.625,2020-11-02,2020-11-02,1962.0
1692.5,780.35,2384.6,2020-11-03,2020-11-03,1826.0
1669.0,748.6,2390.075,2020-11-04,2020-11-04,1685.0
1648.5,752.575,2352.075,2020-11-05,2020-11-05,1653.0
1608.5,763.75,2315.175,2020-11-06,2020-11-06,1759.0
1564.5,700.325,2211.3,2020-11-07,2020-11-07,1309.0
1485.0,659.1,2141.025,2020-11-08,2020-11-08,1171.0
1450.0,654.375,2040.825,2020-11-09,2020-11-09,1789.0
1350.0,610.95,1930.725,2020-11-10,2020-11-10,1728.0
1328.0,587.075,1874.45,2020-11-11,2020-11-11,1193.0
1263.5,547.3,1777.1,2020-11-12,2020-11-12,1513.0
1222.5,533.0,1758.1,2020-11-13,2020-11-13,1572.0
1158.0,519.1,1666.6,2020-11-14,2020-11-14,1212.0
1111.0,488.9500000000001,1603.6499999999996,2020-11-15,2020-11-15,904.0
1037.0,468.9,1511.525,2020-11-16,2020-11-16,1405.0
1003.5,439.7000000000001,1464.0749999999998,2020-11-17,2020-11-17,1323.0
975.0,434.8,1394.4499999999998,2020-11-18,2020-11-18,1191.0
933.5,409.425,1361.7499999999998,2020-11-19,2020-11-19,1097.0
881.0,376.975,1256.25,2020-11-20,2020-11-20,1088.0
864.0,402.125,1241.5749999999998,2020-11-21,2020-11-21,758.0
834.0,370.475,1162.0,2020-11-22,2020-11-22,568.0
783.5,356.225,1131.6,2020-11-23,2020-11-23,972.0
757.5,338.475,1075.35,2020-11-24,2020-11-24,1028.0
710.0,317.54999999999995,1060.975,2020-11-25,2020-11-25,916.0
713.0,307.625,1019.4499999999998,2020-11-26,2020-11-26,869.0
675.5,312.675,995.0,2020-11-27,2020-11-27,863.0
658.0,306.475,972.8249999999998,2020-11-28,2020-11-28,600.0
654.0,304.775,921.875,2020-11-29,2020-11-29,507.0
646.0,282.65,914.25,2020-11-30,2020-11-30,820.0
624.5,314.25,899.525,2020-12-01,2020-12-01,874.0
629.0,277.45000000000005,894.0749999999998,2020-12-02,2020-12-02,865.0
623.5,295.025,903.7999999999996,2020-12-03,2020-12-03,839.0
631.0,281.575,885.5250000000001,2020-12-04,2020-12-04,877.0
627.5,261.225,921.7499999999998,2020-12-05,2020-12-05,623.0
625.5,283.875,899.05,2020-12-06,2020-12-06,550.0
626.5,271.725,878.0,2020-12-07,2020-12-07,836.0
616.0,293.125,873.9749999999999,2020-12-08,2020-12-08,777.0
611.5,282.025,886.1249999999998,2020-12-09,2020-12-09,799.0
624.5,290.42499999999995,893.0,2020-12-10,2020-12-10,804.0
625.0,289.4,912.05,2020-12-11,2020-12-11,844.0
609.0,281.425,870.7249999999999,2020-12-12,2020-12-12,667.0
632.5,279.325,863.3,2020-12-13,2020-12-13,515.0
618.0,302.35,884.575,2020-12-14,2020-12-14,880.0
614.5,296.475,883.4499999999998,2020-12-15,2020-12-15,835.0
622.0,304.57500000000005,887.0999999999999,2020-12-16,2020-12-16,787.0
634.0,294.725,894.3249999999998,2020-12-17,2020-12-17,780.0
639.5,290.7,874.05,2020-12-18,2020-12-18,841.0
630.0,307.6,879.05,2020-12-19,2020-12-19,631.0
636.0,305.65,882.6499999999999,2020-12-20,2020-12-20,464.0
628.0,283.225,883.4999999999998,2020-12-21,2020-12-21,776.0
638.5,301.325,880.625,2020-12-22,2020-12-22,912.0
631.0,309.75,896.5749999999999,2020-12-23,2020-12-23,815.0
641.5,303.475,902.625,2020-12-24,2020-12-24,727.0
643.0,319.6,881.3,2020-12-25,2020-12-25,476.0
642.5,314.35,887.5749999999999,2020-12-26,2020-12-26,548.0
673.5,325.8,912.0749999999998,2020-12-27,2020-12-27,511.0
666.5,348.475,929.15,2020-12-28,2020-12-28,881.0
682.0,353.175,933.725,2020-12-29,2020-12-29,871.0
687.5,339.925,950.525,2020-12-30,2020-12-30,830.0
708.0,374.625,951.65,2020-12-31,2020-12-31,743.0
729.0,330.4,974.725,2021-01-01,2021-01-01,528.0
717.5,352.85,1008.825,2021-01-02,2021-01-02,615.0
717.5,385.725,962.05,2021-01-03,2021-01-03,627.0
732.0,354.475,973.675,2021-01-04,2021-01-04,914.0
727.5,366.025,1003.3,2021-01-05,2021-01-05,956.0
730.0,380.325,990.2999999999998,2021-01-06,2021-01-06,853.0
719.0,370.6,985.05,2021-01-07,2021-01-07,889.0
735.0,360.6,968.05,2021-01-08,2021-01-08,914.0
731.0,399.275,961.1,2021-01-09,2021-01-09,658.0
733.5,404.225,985.4,2021-01-10,2021-01-10,536.0
750.0,381.175,1016.05,2021-01-11,2021-01-11,926.0
764.0,407.175,1023.1,2021-01-12,2021-01-12,1000.0
784.5,424.65,1034.15,2021-01-13,2021-01-13,1047.0
796.0,426.75,1039.025,2021-01-14,2021-01-14,1020.0
827.5,429.9,1065.625,2021-01-15,2021-01-15,1050.0
851.0,454.5,1134.05,2021-01-16,2021-01-16,794.0
855.5,461.775,1119.3,2021-01-17,2021-01-17,628.0
899.0,462.375,1193.5749999999998,2021-01-18,2021-01-18,1087.0
933.0,515.0250000000001,1217.05,2021-01-19,2021-01-19,1126.0
954.0,539.9,1258.1,2021-01-20,2021-01-20,1056.0
1000.0,540.175,1277.6499999999996,2021-01-21,2021-01-21,1078.0
1039.5,544.9,1334.8499999999997,2021-01-22,2021-01-22,1065.0
1040.0,590.1500000000001,1322.975,2021-01-23,2021-01-23,819.0
1039.0,602.8,1311.775,2021-01-24,2021-01-24,686.0
1027.5,595.575,1297.1,2021-01-25,2021-01-25,1093.0
1018.0,564.65,1300.7999999999995,2021-01-26,2021-01-26,1115.0
1004.5,589.325,1272.975,2021-01-27,2021-01-27,1001.0
983.5,556.625,1255.8499999999997,2021-01-28,2021-01-28,1034.0
951.0,566.775,1211.4749999999997,2021-01-29,2021-01-29,1079.0
935.0,513.8,1158.25,2021-01-30,2021-01-30,791.0
933.5,539.825,1155.1499999999996,2021-01-31,2021-01-31,676.0
919.5,536.225,1143.3,2021-02-01,2021-02-01,1127.0
894.0,524.625,1118.7499999999998,2021-02-02,2021-02-02,1136.0
888.0,525.825,1095.6999999999998,2021-02-03,2021-02-03,1010.0
881.5,534.675,1097.8749999999995,2021-02-04,2021-02-04,998.0
861.0,538.85,1076.875,2021-02-05,2021-02-05,970.0
857.5,510.4500000000001,1064.3,2021-02-06,2021-02-06,712.0
838.5,529.15,1010.3,2021-02-07,2021-02-07,659.0
822.0,505.925,997.1249999999998,2021-02-08,2021-02-08,1002.0
802.5,510.05,963.0749999999998,2021-02-09,2021-02-09,1012.0
788.5,521.5,945.9249999999998,2021-02-10,2021-02-10,879.0
780.5,509.3250000000001,930.8499999999996,2021-02-11,2021-02-11,827.0
742.5,521.525,919.675,2021-02-12,2021-02-12,857.0
748.0,492.9,901.8749999999998,2021-02-13,2021-02-13,626.0
737.0,504.25,859.0999999999999,2021-02-14,2021-02-14,539.0
725.0,461.05,863.05,2021-02-15,2021-02-15,852.0
709.0,476.975,850.9749999999999,2021-02-16,2021-02-16,893.0
694.5,503.7,830.25,2021-02-17,2021-02-17,856.0
688.5,482.175,826.3999999999999,2021-02-18,2021-02-18,778.0
692.5,481.9,800.05,2021-02-19,2021-02-19,807.0
673.5,491.5,792.625,2021-02-20,2021-02-20,660.0
689.5,479.875,794.7749999999999,2021-02-21,2021-02-21,577.0
688.5,504.625,785.675,2021-02-22,2021-02-22,874.0
698.5,516.975,816.05,2021-02-23,2021-02-23,829.0
714.5,500.25,801.1999999999999,2021-02-24,2021-02-24,820.0
711.5,557.925,831.1499999999999,2021-02-25,2021-02-25,860.0
729.5,534.9,837.625,2021-02-26,2021-02-26,809.0
732.0,593.95,827.3499999999999,2021-02-27,2021-02-27,681.0
738.5,599.175,842.675,2021-02-28,2021-02-28,520.0
756.0,608.125,856.625,2021-03-01,2021-03-01,836.0
765.0,598.375,871.525,2021-03-02,2021-03-02,946.0
784.0,659.9,888.2499999999999,2021-03-03,2021-03-03,857.0
779.0,647.325,877.7749999999999,2021-03-04,2021-03-04,816.0
797.5,646.5,902.875,2021-03-05,2021-03-05,834.0
810.0,677.625,907.05,2021-03-06,2021-03-06,605.0
808.5,684.85,924.2,2021-03-07,2021-03-07,560.0
830.0,701.6,947.525,2021-03-08,2021-03-08,805.0
832.0,700.5250000000001,934.15,2021-03-09,2021-03-09,806.0
849.5,763.325,933.625,2021-03-10,2021-03-10,812.0
869.0,756.375,971.05,2021-03-11,2021-03-11,891.0
868.5,752.85,1000.35,2021-03-12,2021-03-12,818.0
886.5,769.95,987.05,2021-03-13,2021-03-13,706.0
891.5,763.175,1007.25,2021-03-14,2021-03-14,653.0
903.0,785.275,1011.925,2021-03-15,2021-03-15,939.0
916.0,786.25,1029.25,2021-03-16,2021-03-16,863.0
926.5,828.9000000000001,1028.775,2021-03-17,2021-03-17,885.0
931.0,823.425,1051.35,2021-03-18,2021-03-18,898.0
957.5,845.375,1069.675,2021-03-19,2021-03-19,1036.0
970.0,843.225,1087.4,2021-03-20,2021-03-20,759.0
