teen-median,teen-p1,teen-p2,time,date,hosp_pred
0.0,0.0,1.0,2020-02-24,2020-02-24,
0.0,0.0,1.0,2020-02-25,2020-02-25,
0.0,0.0,1.0,2020-02-26,2020-02-26,
0.0,0.0,1.0,2020-02-27,2020-02-27,
0.0,0.0,1.0,2020-02-28,2020-02-28,
0.0,0.0,1.0,2020-02-29,2020-02-29,
0.0,0.0,1.5249999999999917,2020-03-01,2020-03-01,2.0
0.0,0.0,1.0,2020-03-02,2020-03-02,1.0
0.0,0.0,2.0,2020-03-03,2020-03-03,0.0
0.0,0.0,2.0,2020-03-04,2020-03-04,0.0
0.0,0.0,2.0,2020-03-05,2020-03-05,0.0
0.5,0.0,2.5249999999999915,2020-03-06,2020-03-06,1.0
0.0,0.0,2.0,2020-03-07,2020-03-07,1.0
0.0,0.0,2.0,2020-03-08,2020-03-08,1.0
1.0,0.0,4.0,2020-03-09,2020-03-09,5.0
1.0,0.0,4.0,2020-03-10,2020-03-10,0.0
1.0,0.0,3.5249999999999915,2020-03-11,2020-03-11,1.0
2.0,0.0,5.0,2020-03-12,2020-03-12,5.0
2.0,0.0,5.0,2020-03-13,2020-03-13,5.0
2.0,0.0,6.524999999999992,2020-03-14,2020-03-14,4.0
2.5,0.0,7.0,2020-03-15,2020-03-15,6.0
3.0,0.0,7.0,2020-03-16,2020-03-16,6.0
4.0,0.4750000000000001,9.0,2020-03-17,2020-03-17,3.0
4.5,1.0,10.0,2020-03-18,2020-03-18,5.0
5.0,1.0,12.0,2020-03-19,2020-03-19,3.0
7.0,2.0,12.0,2020-03-20,2020-03-20,3.0
8.0,2.0,16.0,2020-03-21,2020-03-21,2.0
9.0,4.0,17.0,2020-03-22,2020-03-22,2.0
10.5,2.475,19.52499999999999,2020-03-23,2020-03-23,10.0
11.0,3.475,24.52499999999999,2020-03-24,2020-03-24,4.0
11.0,3.0,21.52499999999999,2020-03-25,2020-03-25,7.0
10.5,4.0,20.52499999999999,2020-03-26,2020-03-26,7.0
11.0,3.0,19.52499999999999,2020-03-27,2020-03-27,8.0
9.5,3.0,19.0,2020-03-28,2020-03-28,9.0
9.5,2.475,17.52499999999999,2020-03-29,2020-03-29,9.0
9.0,2.475,17.52499999999999,2020-03-30,2020-03-30,10.0
8.0,2.0,16.0,2020-03-31,2020-03-31,10.0
7.0,3.0,15.0,2020-04-01,2020-04-01,8.0
7.0,2.475,14.0,2020-04-02,2020-04-02,16.0
7.0,2.0,12.524999999999991,2020-04-03,2020-04-03,10.0
6.5,1.0,14.0,2020-04-04,2020-04-04,13.0
6.0,1.475,13.524999999999991,2020-04-05,2020-04-05,5.0
5.0,0.4750000000000001,13.0,2020-04-06,2020-04-06,7.0
5.0,1.475,11.0,2020-04-07,2020-04-07,11.0
5.0,1.0,12.0,2020-04-08,2020-04-08,9.0
4.5,1.0,10.0,2020-04-09,2020-04-09,7.0
4.0,1.0,9.0,2020-04-10,2020-04-10,11.0
4.0,1.0,10.524999999999991,2020-04-11,2020-04-11,2.0
4.0,1.0,9.0,2020-04-12,2020-04-12,8.0
3.0,0.0,10.0,2020-04-13,2020-04-13,6.0
4.0,1.0,8.524999999999991,2020-04-14,2020-04-14,7.0
3.0,0.0,8.0,2020-04-15,2020-04-15,6.0
3.0,0.0,7.524999999999991,2020-04-16,2020-04-16,1.0
3.0,0.0,8.0,2020-04-17,2020-04-17,7.0
3.0,0.0,7.0,2020-04-18,2020-04-18,5.0
3.0,0.0,7.524999999999991,2020-04-19,2020-04-19,2.0
2.0,0.0,6.0,2020-04-20,2020-04-20,9.0
2.0,0.0,6.0,2020-04-21,2020-04-21,10.0
2.0,0.0,6.0,2020-04-22,2020-04-22,4.0
2.0,0.0,6.0,2020-04-23,2020-04-23,6.0
2.0,0.0,5.524999999999992,2020-04-24,2020-04-24,4.0
2.0,0.0,5.0,2020-04-25,2020-04-25,5.0
2.0,0.0,5.0,2020-04-26,2020-04-26,1.0
2.0,0.0,5.0,2020-04-27,2020-04-27,6.0
1.0,0.0,5.0,2020-04-28,2020-04-28,6.0
1.0,0.0,5.0,2020-04-29,2020-04-29,1.0
1.0,0.0,5.0,2020-04-30,2020-04-30,5.0
1.0,0.0,4.524999999999992,2020-05-01,2020-05-01,3.0
1.0,0.0,4.0,2020-05-02,2020-05-02,2.0
1.0,0.0,3.5249999999999915,2020-05-03,2020-05-03,1.0
1.0,0.0,3.0,2020-05-04,2020-05-04,1.0
1.0,0.0,3.5249999999999915,2020-05-05,2020-05-05,4.0
1.0,0.0,3.0,2020-05-06,2020-05-06,4.0
1.0,0.0,3.0,2020-05-07,2020-05-07,5.0
1.0,0.0,3.0,2020-05-08,2020-05-08,1.0
1.0,0.0,3.0,2020-05-09,2020-05-09,1.0
1.0,0.0,3.0,2020-05-10,2020-05-10,3.0
1.0,0.0,3.0,2020-05-11,2020-05-11,1.0
1.0,0.0,3.0,2020-05-12,2020-05-12,4.0
1.0,0.0,3.0,2020-05-13,2020-05-13,1.0
0.0,0.0,2.0,2020-05-14,2020-05-14,2.0
0.0,0.0,3.0,2020-05-15,2020-05-15,1.0
0.0,0.0,2.0,2020-05-16,2020-05-16,2.0
0.0,0.0,2.5249999999999915,2020-05-17,2020-05-17,0.0
0.0,0.0,2.0,2020-05-18,2020-05-18,1.0
0.0,0.0,2.0,2020-05-19,2020-05-19,1.0
0.0,0.0,2.0,2020-05-20,2020-05-20,0.0
0.0,0.0,2.0,2020-05-21,2020-05-21,4.0
0.0,0.0,2.0,2020-05-22,2020-05-22,0.0
0.0,0.0,2.0,2020-05-23,2020-05-23,2.0
0.0,0.0,1.0,2020-05-24,2020-05-24,2.0
0.0,0.0,1.5249999999999917,2020-05-25,2020-05-25,3.0
0.0,0.0,2.0,2020-05-26,2020-05-26,3.0
0.0,0.0,1.5249999999999917,2020-05-27,2020-05-27,1.0
0.0,0.0,1.5249999999999917,2020-05-28,2020-05-28,2.0
0.0,0.0,2.0,2020-05-29,2020-05-29,1.0
0.0,0.0,2.0,2020-05-30,2020-05-30,1.0
0.0,0.0,1.5249999999999917,2020-05-31,2020-05-31,1.0
0.0,0.0,1.0,2020-06-01,2020-06-01,0.0
0.0,0.0,1.0,2020-06-02,2020-06-02,0.0
0.0,0.0,1.0,2020-06-03,2020-06-03,1.0
0.0,0.0,1.0,2020-06-04,2020-06-04,1.0
0.0,0.0,1.0,2020-06-05,2020-06-05,2.0
0.0,0.0,2.0,2020-06-06,2020-06-06,3.0
0.0,0.0,1.0,2020-06-07,2020-06-07,1.0
0.0,0.0,1.0,2020-06-08,2020-06-08,3.0
0.0,0.0,1.0,2020-06-09,2020-06-09,0.0
0.0,0.0,1.0,2020-06-10,2020-06-10,0.0
0.0,0.0,1.0,2020-06-11,2020-06-11,2.0
0.0,0.0,1.0,2020-06-12,2020-06-12,0.0
0.0,0.0,1.0,2020-06-13,2020-06-13,0.0
0.0,0.0,1.0,2020-06-14,2020-06-14,0.0
0.0,0.0,1.0,2020-06-15,2020-06-15,3.0
0.0,0.0,1.0,2020-06-16,2020-06-16,1.0
0.0,0.0,1.0,2020-06-17,2020-06-17,0.0
0.0,0.0,1.0,2020-06-18,2020-06-18,1.0
0.0,0.0,1.0,2020-06-19,2020-06-19,2.0
0.0,0.0,1.0,2020-06-20,2020-06-20,0.0
0.0,0.0,1.0,2020-06-21,2020-06-21,1.0
0.0,0.0,1.0,2020-06-22,2020-06-22,1.0
0.0,0.0,1.0,2020-06-23,2020-06-23,1.0
0.0,0.0,1.0,2020-06-24,2020-06-24,2.0
0.0,0.0,1.0,2020-06-25,2020-06-25,0.0
0.0,0.0,1.0,2020-06-26,2020-06-26,1.0
0.0,0.0,1.0,2020-06-27,2020-06-27,0.0
0.0,0.0,1.0,2020-06-28,2020-06-28,0.0
0.0,0.0,1.0,2020-06-29,2020-06-29,1.0
0.0,0.0,1.0,2020-06-30,2020-06-30,0.0
0.0,0.0,1.0,2020-07-01,2020-07-01,0.0
0.0,0.0,1.0,2020-07-02,2020-07-02,0.0
0.0,0.0,1.0,2020-07-03,2020-07-03,0.0
0.0,0.0,1.0,2020-07-04,2020-07-04,0.0
0.0,0.0,1.0,2020-07-05,2020-07-05,0.0
0.0,0.0,1.0,2020-07-06,2020-07-06,0.0
0.0,0.0,1.0,2020-07-07,2020-07-07,0.0
0.0,0.0,1.0,2020-07-08,2020-07-08,1.0
0.0,0.0,1.0,2020-07-09,2020-07-09,0.0
0.0,0.0,1.0,2020-07-10,2020-07-10,1.0
0.0,0.0,1.0,2020-07-11,2020-07-11,1.0
0.0,0.0,1.0,2020-07-12,2020-07-12,0.0
0.0,0.0,1.0,2020-07-13,2020-07-13,2.0
0.0,0.0,1.0,2020-07-14,2020-07-14,0.0
0.0,0.0,1.0,2020-07-15,2020-07-15,0.0
0.0,0.0,1.0,2020-07-16,2020-07-16,0.0
0.0,0.0,1.0,2020-07-17,2020-07-17,1.0
0.0,0.0,1.0,2020-07-18,2020-07-18,0.0
0.0,0.0,1.0,2020-07-19,2020-07-19,0.0
0.0,0.0,1.0,2020-07-20,2020-07-20,3.0
0.0,0.0,1.5249999999999917,2020-07-21,2020-07-21,1.0
0.0,0.0,1.0,2020-07-22,2020-07-22,0.0
0.0,0.0,1.0,2020-07-23,2020-07-23,2.0
0.0,0.0,1.0,2020-07-24,2020-07-24,0.0
0.0,0.0,1.0,2020-07-25,2020-07-25,0.0
0.0,0.0,1.0,2020-07-26,2020-07-26,0.0
0.0,0.0,1.5249999999999917,2020-07-27,2020-07-27,0.0
0.0,0.0,1.0,2020-07-28,2020-07-28,0.0
0.0,0.0,1.0,2020-07-29,2020-07-29,0.0
0.0,0.0,1.0,2020-07-30,2020-07-30,2.0
0.0,0.0,1.0,2020-07-31,2020-07-31,2.0
0.0,0.0,1.0,2020-08-01,2020-08-01,1.0
0.0,0.0,1.0,2020-08-02,2020-08-02,0.0
0.0,0.0,2.0,2020-08-03,2020-08-03,2.0
0.0,0.0,1.0,2020-08-04,2020-08-04,0.0
0.0,0.0,2.0,2020-08-05,2020-08-05,2.0
0.0,0.0,1.0,2020-08-06,2020-08-06,0.0
0.0,0.0,1.0,2020-08-07,2020-08-07,1.0
0.0,0.0,1.0,2020-08-08,2020-08-08,4.0
0.0,0.0,2.0,2020-08-09,2020-08-09,1.0
0.0,0.0,1.0,2020-08-10,2020-08-10,0.0
0.0,0.0,1.5249999999999917,2020-08-11,2020-08-11,1.0
0.0,0.0,1.0,2020-08-12,2020-08-12,1.0
0.0,0.0,1.0,2020-08-13,2020-08-13,0.0
0.0,0.0,1.5249999999999917,2020-08-14,2020-08-14,0.0
0.0,0.0,1.0,2020-08-15,2020-08-15,2.0
0.0,0.0,1.0,2020-08-16,2020-08-16,2.0
0.0,0.0,2.0,2020-08-17,2020-08-17,1.0
0.0,0.0,2.0,2020-08-18,2020-08-18,1.0
0.0,0.0,2.0,2020-08-19,2020-08-19,0.0
0.0,0.0,1.0,2020-08-20,2020-08-20,4.0
0.0,0.0,2.0,2020-08-21,2020-08-21,0.0
0.0,0.0,2.0,2020-08-22,2020-08-22,0.0
0.0,0.0,2.0,2020-08-23,2020-08-23,0.0
0.0,0.0,2.0,2020-08-24,2020-08-24,2.0
0.0,0.0,1.5249999999999917,2020-08-25,2020-08-25,3.0
0.0,0.0,1.5249999999999917,2020-08-26,2020-08-26,1.0
0.0,0.0,1.0,2020-08-27,2020-08-27,2.0
0.0,0.0,2.0,2020-08-28,2020-08-28,2.0
0.0,0.0,2.0,2020-08-29,2020-08-29,1.0
0.0,0.0,2.0,2020-08-30,2020-08-30,3.0
0.0,0.0,1.5249999999999917,2020-08-31,2020-08-31,3.0
0.0,0.0,2.0,2020-09-01,2020-09-01,1.0
0.0,0.0,2.0,2020-09-02,2020-09-02,3.0
0.0,0.0,1.5249999999999917,2020-09-03,2020-09-03,0.0
0.0,0.0,2.0,2020-09-04,2020-09-04,5.0
0.0,0.0,2.0,2020-09-05,2020-09-05,2.0
1.0,0.0,3.0,2020-09-06,2020-09-06,2.0
1.0,0.0,3.0,2020-09-07,2020-09-07,4.0
1.0,0.0,4.0,2020-09-08,2020-09-08,0.0
1.0,0.0,4.0,2020-09-09,2020-09-09,2.0
1.0,0.0,4.0,2020-09-10,2020-09-10,7.0
1.0,0.0,5.0,2020-09-11,2020-09-11,5.0
2.0,0.0,4.0,2020-09-12,2020-09-12,1.0
2.0,0.0,5.0,2020-09-13,2020-09-13,5.0
2.0,0.0,5.0,2020-09-14,2020-09-14,5.0
2.0,0.0,5.0,2020-09-15,2020-09-15,2.0
2.0,0.0,6.0,2020-09-16,2020-09-16,4.0
2.0,0.0,5.0,2020-09-17,2020-09-17,6.0
2.0,0.0,5.0,2020-09-18,2020-09-18,8.0
2.0,0.0,6.049999999999983,2020-09-19,2020-09-19,2.0
3.0,0.0,7.0,2020-09-20,2020-09-20,2.0
3.0,0.0,6.0,2020-09-21,2020-09-21,4.0
3.0,0.0,6.0,2020-09-22,2020-09-22,6.0
2.5,0.0,8.0,2020-09-23,2020-09-23,4.0
3.0,0.0,6.524999999999992,2020-09-24,2020-09-24,4.0
3.0,0.0,7.0,2020-09-25,2020-09-25,2.0
3.0,0.0,6.524999999999992,2020-09-26,2020-09-26,2.0
3.0,0.0,7.0,2020-09-27,2020-09-27,5.0
3.0,0.0,7.0,2020-09-28,2020-09-28,3.0
3.0,1.0,7.0,2020-09-29,2020-09-29,3.0
3.0,0.0,6.524999999999992,2020-09-30,2020-09-30,5.0
3.0,0.4750000000000001,8.0,2020-10-01,2020-10-01,7.0
3.0,0.0,8.0,2020-10-02,2020-10-02,7.0
3.0,0.4750000000000001,8.0,2020-10-03,2020-10-03,2.0
4.0,0.0,10.0,2020-10-04,2020-10-04,2.0
4.0,1.0,8.0,2020-10-05,2020-10-05,2.0
3.0,0.0,8.0,2020-10-06,2020-10-06,4.0
4.0,0.4750000000000001,8.0,2020-10-07,2020-10-07,2.0
4.0,0.0,7.0,2020-10-08,2020-10-08,5.0
4.0,1.0,9.0,2020-10-09,2020-10-09,4.0
4.5,1.0,8.0,2020-10-10,2020-10-10,3.0
4.0,1.0,9.524999999999991,2020-10-11,2020-10-11,9.0
5.0,0.0,9.524999999999991,2020-10-12,2020-10-12,5.0
5.0,0.0,10.524999999999991,2020-10-13,2020-10-13,5.0
6.0,0.0,11.0,2020-10-14,2020-10-14,5.0
6.0,1.475,10.0,2020-10-15,2020-10-15,12.0
7.0,1.0,11.0,2020-10-16,2020-10-16,4.0
7.0,1.475,13.524999999999991,2020-10-17,2020-10-17,7.0
6.0,1.475,14.0,2020-10-18,2020-10-18,6.0
8.0,2.0,14.0,2020-10-19,2020-10-19,13.0
8.0,2.0,15.524999999999991,2020-10-20,2020-10-20,3.0
8.0,3.475,17.52499999999999,2020-10-21,2020-10-21,12.0
9.0,2.95,18.09999999999997,2020-10-22,2020-10-22,13.0
9.0,3.0,18.62499999999996,2020-10-23,2020-10-23,7.0
9.0,3.0,20.0,2020-10-24,2020-10-24,8.0
10.0,3.0,16.0,2020-10-25,2020-10-25,8.0
9.0,1.95,16.0,2020-10-26,2020-10-26,11.0
8.0,2.475,16.0,2020-10-27,2020-10-27,14.0
8.0,3.0,15.0,2020-10-28,2020-10-28,7.0
8.0,3.0,15.0,2020-10-29,2020-10-29,7.0
7.0,2.0,15.0,2020-10-30,2020-10-30,8.0
7.0,2.0,12.0,2020-10-31,2020-10-31,5.0
7.0,2.0,14.524999999999991,2020-11-01,2020-11-01,5.0
7.0,2.0,12.524999999999991,2020-11-02,2020-11-02,14.0
6.0,1.475,12.0,2020-11-03,2020-11-03,12.0
6.0,2.0,15.0,2020-11-04,2020-11-04,10.0
6.0,1.0,12.524999999999991,2020-11-05,2020-11-05,12.0
7.0,1.475,12.0,2020-11-06,2020-11-06,13.0
7.0,2.0,14.524999999999991,2020-11-07,2020-11-07,5.0
7.0,2.0,16.049999999999983,2020-11-08,2020-11-08,10.0
7.5,1.0,15.0,2020-11-09,2020-11-09,10.0
8.0,1.475,14.524999999999991,2020-11-10,2020-11-10,10.0
8.5,2.0,14.524999999999991,2020-11-11,2020-11-11,8.0
8.0,3.0,16.52499999999999,2020-11-12,2020-11-12,6.0
7.0,2.475,15.0,2020-11-13,2020-11-13,10.0
8.0,3.0,17.0,2020-11-14,2020-11-14,18.0
8.5,3.0,14.524999999999991,2020-11-15,2020-11-15,10.0
9.0,2.95,16.52499999999999,2020-11-16,2020-11-16,14.0
9.0,3.0,17.52499999999999,2020-11-17,2020-11-17,3.0
9.0,2.0,17.0,2020-11-18,2020-11-18,5.0
8.0,4.0,16.0,2020-11-19,2020-11-19,8.0
8.0,2.475,16.52499999999999,2020-11-20,2020-11-20,8.0
8.0,3.0,16.0,2020-11-21,2020-11-21,4.0
9.0,3.0,18.0,2020-11-22,2020-11-22,6.0
8.0,2.0,15.524999999999991,2020-11-23,2020-11-23,8.0
8.0,2.475,17.52499999999999,2020-11-24,2020-11-24,6.0
8.0,3.0,14.524999999999991,2020-11-25,2020-11-25,6.0
7.0,2.0,14.524999999999991,2020-11-26,2020-11-26,8.0
7.0,2.0,14.524999999999991,2020-11-27,2020-11-27,6.0
7.5,2.0,15.0,2020-11-28,2020-11-28,8.0
8.0,2.0,16.0,2020-11-29,2020-11-29,8.0
7.0,3.0,16.0,2020-11-30,2020-11-30,2.0
8.0,3.0,13.524999999999991,2020-12-01,2020-12-01,5.0
8.0,2.0,15.0,2020-12-02,2020-12-02,7.0
7.0,2.0,15.574999999999974,2020-12-03,2020-12-03,13.0
7.0,2.0,14.0,2020-12-04,2020-12-04,6.0
8.0,2.475,15.524999999999991,2020-12-05,2020-12-05,3.0
7.0,2.0,17.574999999999974,2020-12-06,2020-12-06,7.0
8.0,2.0,14.524999999999991,2020-12-07,2020-12-07,8.0
7.0,2.475,15.0,2020-12-08,2020-12-08,2.0
7.0,1.475,15.049999999999985,2020-12-09,2020-12-09,6.0
8.0,2.475,16.52499999999999,2020-12-10,2020-12-10,8.0
8.0,1.95,14.524999999999991,2020-12-11,2020-12-11,7.0
9.0,2.0,15.524999999999991,2020-12-12,2020-12-12,3.0
8.0,3.0,14.0,2020-12-13,2020-12-13,3.0
9.0,2.475,14.524999999999991,2020-12-14,2020-12-14,1.0
7.0,1.0,15.049999999999985,2020-12-15,2020-12-15,7.0
7.0,1.475,15.574999999999974,2020-12-16,2020-12-16,6.0
8.0,2.0,15.0,2020-12-17,2020-12-17,9.0
8.0,2.475,16.0,2020-12-18,2020-12-18,6.0
8.0,2.475,15.0,2020-12-19,2020-12-19,4.0
8.0,2.0,15.0,2020-12-20,2020-12-20,6.0
8.0,3.0,14.0,2020-12-21,2020-12-21,8.0
7.0,1.475,14.524999999999991,2020-12-22,2020-12-22,3.0
8.0,2.0,14.524999999999991,2020-12-23,2020-12-23,4.0
8.0,3.0,16.049999999999983,2020-12-24,2020-12-24,4.0
7.5,2.0,13.524999999999991,2020-12-25,2020-12-25,4.0
8.0,2.0,14.0,2020-12-26,2020-12-26,1.0
7.0,3.0,14.0,2020-12-27,2020-12-27,0.0
6.0,2.0,12.524999999999991,2020-12-28,2020-12-28,4.0
6.0,2.0,11.524999999999991,2020-12-29,2020-12-29,4.0
5.0,1.0,9.524999999999991,2020-12-30,2020-12-30,2.0
4.0,1.0,11.049999999999985,2020-12-31,2020-12-31,5.0
4.0,0.0,10.0,2021-01-01,2021-01-01,0.0
5.0,1.0,10.524999999999991,2021-01-02,2021-01-02,8.0
3.0,0.0,9.0,2021-01-03,2021-01-03,5.0
4.0,0.0,9.524999999999991,2021-01-04,2021-01-04,4.0
3.0,0.0,6.0,2021-01-05,2021-01-05,4.0
3.0,0.0,7.0,2021-01-06,2021-01-06,3.0
3.0,0.0,7.0,2021-01-07,2021-01-07,8.0
2.0,0.0,6.524999999999992,2021-01-08,2021-01-08,6.0
3.0,0.0,6.524999999999992,2021-01-09,2021-01-09,5.0
3.0,0.0,6.0,2021-01-10,2021-01-10,3.0
3.0,0.0,8.524999999999991,2021-01-11,2021-01-11,2.0
3.0,0.0,7.0,2021-01-12,2021-01-12,4.0
4.0,0.4750000000000001,9.524999999999991,2021-01-13,2021-01-13,5.0
4.0,1.0,9.0,2021-01-14,2021-01-14,5.0
4.0,1.0,11.0,2021-01-15,2021-01-15,6.0
5.0,2.0,11.0,2021-01-16,2021-01-16,4.0
6.0,1.0,10.0,2021-01-17,2021-01-17,3.0
6.0,1.475,12.0,2021-01-18,2021-01-18,5.0
6.0,2.0,13.524999999999991,2021-01-19,2021-01-19,4.0
7.0,2.0,12.0,2021-01-20,2021-01-20,11.0
7.0,2.475,12.524999999999991,2021-01-21,2021-01-21,8.0
8.0,2.0,14.524999999999991,2021-01-22,2021-01-22,10.0
9.0,2.0,15.0,2021-01-23,2021-01-23,8.0
8.0,3.475,15.049999999999985,2021-01-24,2021-01-24,5.0
8.5,4.0,15.524999999999991,2021-01-25,2021-01-25,13.0
9.0,4.0,15.0,2021-01-26,2021-01-26,7.0
8.0,4.0,15.524999999999991,2021-01-27,2021-01-27,6.0
10.0,4.0,16.52499999999999,2021-01-28,2021-01-28,8.0
9.0,4.0,16.0,2021-01-29,2021-01-29,7.0
9.0,3.0,17.0,2021-01-30,2021-01-30,2.0
9.5,3.475,16.0,2021-01-31,2021-01-31,3.0
10.0,4.0,18.0,2021-02-01,2021-02-01,4.0
10.0,3.0,16.52499999999999,2021-02-02,2021-02-02,9.0
10.0,5.0,18.57499999999997,2021-02-03,2021-02-03,6.0
10.0,2.95,18.0,2021-02-04,2021-02-04,3.0
10.5,5.0,19.0,2021-02-05,2021-02-05,2.0
11.0,5.0,17.52499999999999,2021-02-06,2021-02-06,5.0
11.0,5.0,19.049999999999983,2021-02-07,2021-02-07,3.0
11.0,4.0,17.52499999999999,2021-02-08,2021-02-08,6.0
11.0,5.0,18.0,2021-02-09,2021-02-09,6.0
11.0,4.475,19.52499999999999,2021-02-10,2021-02-10,3.0
12.0,4.475,22.0,2021-02-11,2021-02-11,3.0
11.0,5.0,18.52499999999999,2021-02-12,2021-02-12,3.0
12.0,5.0,18.0,2021-02-13,2021-02-13,3.0
11.0,6.0,20.0,2021-02-14,2021-02-14,5.0
10.0,4.0,16.0,2021-02-15,2021-02-15,3.0
11.0,5.0,18.0,2021-02-16,2021-02-16,9.0
11.0,5.475,17.52499999999999,2021-02-17,2021-02-17,4.0
11.0,6.0,17.0,2021-02-18,2021-02-18,5.0
11.0,5.0,17.52499999999999,2021-02-19,2021-02-19,10.0
11.0,6.0,18.52499999999999,2021-02-20,2021-02-20,3.0
10.0,5.475,18.52499999999999,2021-02-21,2021-02-21,4.0
10.5,5.0,16.52499999999999,2021-02-22,2021-02-22,4.0
11.0,6.0,16.52499999999999,2021-02-23,2021-02-23,9.0
9.0,5.0,16.0,2021-02-24,2021-02-24,7.0
10.0,4.475,16.52499999999999,2021-02-25,2021-02-25,10.0
10.0,5.0,16.52499999999999,2021-02-26,2021-02-26,5.0
9.0,5.0,16.52499999999999,2021-02-27,2021-02-27,4.0
9.0,4.475,15.0,2021-02-28,2021-02-28,4.0
9.0,4.0,16.52499999999999,2021-03-01,2021-03-01,3.0
9.0,4.0,15.524999999999991,2021-03-02,2021-03-02,12.0
9.0,4.0,14.524999999999991,2021-03-03,2021-03-03,12.0
8.0,3.0,13.0,2021-03-04,2021-03-04,6.0
9.0,3.475,14.0,2021-03-05,2021-03-05,8.0
7.0,2.475,14.0,2021-03-06,2021-03-06,7.0
8.0,3.0,15.524999999999991,2021-03-07,2021-03-07,7.0
8.0,2.475,13.0,2021-03-08,2021-03-08,11.0
8.0,3.0,15.0,2021-03-09,2021-03-09,5.0
9.0,4.475,13.0,2021-03-10,2021-03-10,3.0
9.0,5.0,13.524999999999991,2021-03-11,2021-03-11,5.0
9.0,4.0,16.0,2021-03-12,2021-03-12,5.0
10.0,5.0,17.52499999999999,2021-03-13,2021-03-13,3.0
9.0,4.475,16.52499999999999,2021-03-14,2021-03-14,6.0
11.0,5.0,18.52499999999999,2021-03-15,2021-03-15,8.0
12.0,6.0,17.52499999999999,2021-03-16,2021-03-16,7.0
12.0,6.0,17.52499999999999,2021-03-17,2021-03-17,9.0
12.0,5.95,18.52499999999999,2021-03-18,2021-03-18,12.0
14.0,7.475,22.52499999999999,2021-03-19,2021-03-19,9.0
14.0,7.475,23.52499999999999,2021-03-20,2021-03-20,7.0
15.0,7.475,24.0,2021-03-21,2021-03-21,9.0
17.0,9.475,25.52499999999999,2021-03-22,2021-03-22,11.0
17.0,10.475,25.52499999999999,2021-03-23,2021-03-23,5.0
18.0,11.475,28.049999999999983,2021-03-24,2021-03-24,13.0
19.0,11.0,29.049999999999983,2021-03-25,2021-03-25,3.0
21.0,10.475,29.049999999999983,2021-03-26,2021-03-26,8.0
21.0,12.0,30.52499999999999,2021-03-27,2021-03-27,8.0
23.0,13.0,31.52499999999999,2021-03-28,2021-03-28,6.0
22.0,13.475,32.52499999999999,2021-03-29,2021-03-29,10.0
22.0,11.425,32.574999999999974,2021-03-30,2021-03-30,9.0
24.0,14.0,35.52499999999999,2021-03-31,2021-03-31,12.0
25.0,16.0,32.52499999999999,2021-04-01,2021-04-01,12.0
24.5,12.0,36.04999999999998,2021-04-02,2021-04-02,8.0
25.0,14.475,38.52499999999999,2021-04-03,2021-04-03,8.0
25.0,16.0,35.52499999999999,2021-04-04,2021-04-04,11.0
26.0,15.0,38.52499999999999,2021-04-05,2021-04-05,9.0
25.0,16.0,36.04999999999998,2021-04-06,2021-04-06,3.0
26.0,15.0,38.04999999999998,2021-04-07,2021-04-07,17.0
